S50.00XA@Contusion of unspecified elbow, initial encounter
S52.034E@Nondisp fx of olecran pro w intartic extn r ulna, 7thE
S52.034F@Nondisp fx of olecran pro w intartic extn r ulna, 7thF
S52.034G@Nondisp fx of olecran pro w intartic extn r ulna, 7thG
S52.034H@Nondisp fx of olecran pro w intartic extn r ulna, 7thH
S52.034J@Nondisp fx of olecran pro w intartic extn r ulna, 7thJ
S52.034K@Nondisp fx of olecran pro w intartic extn r ulna, 7thK
S52.034M@Nondisp fx of olecran pro w intartic extn r ulna, 7thM
S52.034N@Nondisp fx of olecran pro w intartic extn r ulna, 7thN
S52.034P@Nondisp fx of olecran pro w intartic extn r ulna, 7thP
S52.034Q@Nondisp fx of olecran pro w intartic extn r ulna, 7thQ
S52.034R@Nondisp fx of olecran pro w intartic extn r ulna, 7thR
S52.034S@Nondisp fx of olecran pro w intartic extn r ulna, sequela
S52.035A@Nondisp fx of olecran pro w intartic extn left ulna, init
S52.035B@Nondisp fx of olecran pro w intartic extn l ulna, 7thB
S52.035C@Nondisp fx of olecran pro w intartic extn l ulna, 7thC
S52.035D@Nondisp fx of olecran pro w intartic extn l ulna, 7thD
S52.035E@Nondisp fx of olecran pro w intartic extn l ulna, 7thE
S52.035F@Nondisp fx of olecran pro w intartic extn l ulna, 7thF
S52.035G@Nondisp fx of olecran pro w intartic extn l ulna, 7thG
S52.035H@Nondisp fx of olecran pro w intartic extn l ulna, 7thH
S52.035J@Nondisp fx of olecran pro w intartic extn l ulna, 7thJ
S52.035K@Nondisp fx of olecran pro w intartic extn l ulna, 7thK
S52.035M@Nondisp fx of olecran pro w intartic extn l ulna, 7thM
S52.035N@Nondisp fx of olecran pro w intartic extn l ulna, 7thN
S52.035P@Nondisp fx of olecran pro w intartic extn l ulna, 7thP
S52.035Q@Nondisp fx of olecran pro w intartic extn l ulna, 7thQ
S52.035R@Nondisp fx of olecran pro w intartic extn l ulna, 7thR
S52.035S@Nondisp fx of olecran pro w intartic extn left ulna, sequela
S52.036A@Nondisp fx of olecran pro w intartic extn unsp ulna, init
S52.036B@Nondisp fx of olecran pro w intartic extn unsp ulna, 7thB
S52.036C@Nondisp fx of olecran pro w intartic extn unsp ulna, 7thC
S52.036D@Nondisp fx of olecran pro w intartic extn unsp ulna, 7thD
S52.036E@Nondisp fx of olecran pro w intartic extn unsp ulna, 7thE
S52.036F@Nondisp fx of olecran pro w intartic extn unsp ulna, 7thF
S52.036G@Nondisp fx of olecran pro w intartic extn unsp ulna, 7thG
S52.036H@Nondisp fx of olecran pro w intartic extn unsp ulna, 7thH
S52.036J@Nondisp fx of olecran pro w intartic extn unsp ulna, 7thJ
S52.036K@Nondisp fx of olecran pro w intartic extn unsp ulna, 7thK
S52.036M@Nondisp fx of olecran pro w intartic extn unsp ulna, 7thM
S52.036N@Nondisp fx of olecran pro w intartic extn unsp ulna, 7thN
S52.036P@Nondisp fx of olecran pro w intartic extn unsp ulna, 7thP
S52.036Q@Nondisp fx of olecran pro w intartic extn unsp ulna, 7thQ
S52.036R@Nondisp fx of olecran pro w intartic extn unsp ulna, 7thR
S52.036S@Nondisp fx of olecran pro w intartic extn unsp ulna, sequela
S52.041A@Disp fx of coronoid process of right ulna, init for clos fx
S52.041B@Disp fx of coronoid pro of r ulna, init for opn fx type I/2
S52.041C@Disp fx of coronoid pro of r ulna, 7thC
S52.041D@Disp fx of coronoid pro of r ulna, 7thD
S52.041E@Disp fx of coronoid pro of r ulna, 7thE
S52.041F@Disp fx of coronoid pro of r ulna, 7thF
S52.041G@Disp fx of coronoid pro of r ulna, 7thG
S52.041H@Disp fx of coronoid pro of r ulna, 7thH
S52.041J@Disp fx of coronoid pro of r ulna, 7thJ
S52.041K@Disp fx of coronoid pro of r ulna, 7thK
S52.041M@Disp fx of coronoid pro of r ulna, 7thM
S52.041N@Disp fx of coronoid pro of r ulna, 7thN
S52.041P@Disp fx of coronoid pro of r ulna, 7thP
S52.041Q@Disp fx of coronoid pro of r ulna, 7thQ
S52.041R@Disp fx of coronoid pro of r ulna, 7thR
S52.041S@Disp fx of coronoid process of right ulna, sequela
S52.042A@Disp fx of coronoid process of left ulna, init for clos fx
S52.042B@Disp fx of coronoid pro of l ulna, init for opn fx type I/2
S52.042C@Disp fx of coronoid pro of l ulna, 7thC
S52.042D@Disp fx of coronoid pro of l ulna, 7thD
S52.042E@Disp fx of coronoid pro of l ulna, 7thE
S52.042F@Disp fx of coronoid pro of l ulna, 7thF
S52.042G@Disp fx of coronoid pro of l ulna, 7thG
S52.042H@Disp fx of coronoid pro of l ulna, 7thH
S52.042J@Disp fx of coronoid pro of l ulna, 7thJ
S52.042K@Disp fx of coronoid pro of l ulna, 7thK
S52.042M@Disp fx of coronoid pro of l ulna, 7thM
S52.042N@Disp fx of coronoid pro of l ulna, 7thN
S52.042P@Disp fx of coronoid pro of l ulna, 7thP
S52.042Q@Disp fx of coronoid pro of l ulna, 7thQ
S52.042R@Disp fx of coronoid pro of l ulna, 7thR
S52.042S@Displaced fracture of coronoid process of left ulna, sequela
S52.043A@Disp fx of coronoid process of unsp ulna, init for clos fx
S52.043B@Disp fx of coronoid pro of unsp ulna, 7thB
S52.043C@Disp fx of coronoid pro of unsp ulna, 7thC
S52.043D@Disp fx of coronoid pro of unsp ulna, 7thD
S52.043E@Disp fx of coronoid pro of unsp ulna, 7thE
S52.043F@Disp fx of coronoid pro of unsp ulna, 7thF
S52.043G@Disp fx of coronoid pro of unsp ulna, 7thG
S52.043H@Disp fx of coronoid pro of unsp ulna, 7thH
S52.043J@Disp fx of coronoid pro of unsp ulna, 7thJ
S52.043K@Disp fx of coronoid pro of unsp ulna, 7thK
S52.043M@Disp fx of coronoid pro of unsp ulna, 7thM
S52.043N@Disp fx of coronoid pro of unsp ulna, 7thN
S52.043P@Disp fx of coronoid pro of unsp ulna, 7thP
S52.043Q@Disp fx of coronoid pro of unsp ulna, 7thQ
S52.043R@Disp fx of coronoid pro of unsp ulna, 7thR
S52.043S@Disp fx of coronoid process of unspecified ulna, sequela
S52.044A@Nondisp fx of coronoid process of right ulna, init
S52.044B@Nondisp fx of coronoid pro of r ulna, 7thB
S52.044C@Nondisp fx of coronoid pro of r ulna, 7thC
S52.044D@Nondisp fx of coronoid pro of r ulna, 7thD
S52.044E@Nondisp fx of coronoid pro of r ulna, 7thE
S52.044F@Nondisp fx of coronoid pro of r ulna, 7thF
S52.044G@Nondisp fx of coronoid pro of r ulna, 7thG
S52.044H@Nondisp fx of coronoid pro of r ulna, 7thH
S52.044J@Nondisp fx of coronoid pro of r ulna, 7thJ
S52.044K@Nondisp fx of coronoid pro of r ulna, 7thK
S52.044M@Nondisp fx of coronoid pro of r ulna, 7thM
S52.044N@Nondisp fx of coronoid pro of r ulna, 7thN
S52.044P@Nondisp fx of coronoid pro of r ulna, 7thP
S52.044Q@Nondisp fx of coronoid pro of r ulna, 7thQ
S52.044R@Nondisp fx of coronoid pro of r ulna, 7thR
S52.044S@Nondisp fx of coronoid process of right ulna, sequela
S52.045A@Nondisp fx of coronoid process of left ulna, init
S52.045B@Nondisp fx of coronoid pro of l ulna, 7thB
S52.045C@Nondisp fx of coronoid pro of l ulna, 7thC
S52.045D@Nondisp fx of coronoid pro of l ulna, 7thD
S52.045E@Nondisp fx of coronoid pro of l ulna, 7thE
S52.045F@Nondisp fx of coronoid pro of l ulna, 7thF
S52.045G@Nondisp fx of coronoid pro of l ulna, 7thG
S52.045H@Nondisp fx of coronoid pro of l ulna, 7thH
S52.045J@Nondisp fx of coronoid pro of l ulna, 7thJ
S52.045K@Nondisp fx of coronoid pro of l ulna, 7thK
S52.045M@Nondisp fx of coronoid pro of l ulna, 7thM
S52.045N@Nondisp fx of coronoid pro of l ulna, 7thN
S52.045P@Nondisp fx of coronoid pro of l ulna, 7thP
S52.045Q@Nondisp fx of coronoid pro of l ulna, 7thQ
S52.045R@Nondisp fx of coronoid pro of l ulna, 7thR
S52.045S@Nondisp fx of coronoid process of left ulna, sequela
S52.046A@Nondisp fx of coronoid process of unsp ulna, init
S52.046B@Nondisp fx of coronoid pro of unsp ulna, 7thB
S52.046C@Nondisp fx of coronoid pro of unsp ulna, 7thC
S52.046D@Nondisp fx of coronoid pro of unsp ulna, 7thD
S52.046E@Nondisp fx of coronoid pro of unsp ulna, 7thE
S52.046F@Nondisp fx of coronoid pro of unsp ulna, 7thF
S52.046G@Nondisp fx of coronoid pro of unsp ulna, 7thG
S52.046H@Nondisp fx of coronoid pro of unsp ulna, 7thH
S52.046J@Nondisp fx of coronoid pro of unsp ulna, 7thJ
S52.046K@Nondisp fx of coronoid pro of unsp ulna, 7thK
S52.046M@Nondisp fx of coronoid pro of unsp ulna, 7thM
S52.046N@Nondisp fx of coronoid pro of unsp ulna, 7thN
S52.046P@Nondisp fx of coronoid pro of unsp ulna, 7thP
S52.046Q@Nondisp fx of coronoid pro of unsp ulna, 7thQ
S52.046R@Nondisp fx of coronoid pro of unsp ulna, 7thR
S52.046S@Nondisp fx of coronoid process of unspecified ulna, sequela
S52.091A@Oth fracture of upper end of right ulna, init for clos fx
S52.091B@Oth fx upper end of right ulna, init for opn fx type I/2
S52.091C@Oth fx upper end of right ulna, init for opn fx type 3A/B/C
S52.091D@Oth fx upper end of r ulna, subs for clos fx w routn heal
S52.091E@Oth fx upr end r ulna, subs for opn fx type I/2 w routn heal
S52.091F@Oth fx upr end r ulna, 7thF
S52.091G@Oth fx upper end of r ulna, subs for clos fx w delay heal
S52.091H@Oth fx upr end r ulna, subs for opn fx type I/2 w delay heal
S52.091J@Oth fx upr end r ulna, 7thJ
S52.091K@Oth fx upper end of right ulna, subs for clos fx w nonunion
S52.091M@Oth fx upper end r ulna, subs for opn fx type I/2 w nonunion
S52.091N@Oth fx upr end r ulna, 7thN
S52.091P@Oth fx upper end of right ulna, subs for clos fx w malunion
S52.091Q@Oth fx upper end r ulna, subs for opn fx type I/2 w malunion
S52.091R@Oth fx upr end r ulna, 7thR
S52.091S@Other fracture of upper end of right ulna, sequela
S52.092A@Oth fracture of upper end of left ulna, init for clos fx
S52.092B@Oth fx upper end of left ulna, init for opn fx type I/2
S52.092C@Oth fx upper end of left ulna, init for opn fx type 3A/B/C
S52.092D@Oth fx upper end of left ulna, subs for clos fx w routn heal
S52.092E@Oth fx upr end l ulna, subs for opn fx type I/2 w routn heal
S52.092F@Oth fx upr end l ulna, 7thF
S52.092G@Oth fx upper end of left ulna, subs for clos fx w delay heal
S52.092H@Oth fx upr end l ulna, subs for opn fx type I/2 w delay heal
S52.092J@Oth fx upr end l ulna, 7thJ
S52.092K@Oth fx upper end of left ulna, subs for clos fx w nonunion
S52.092M@Oth fx upper end l ulna, subs for opn fx type I/2 w nonunion
S52.092N@Oth fx upr end l ulna, 7thN
S52.092P@Oth fx upper end of left ulna, subs for clos fx w malunion
S52.092Q@Oth fx upper end l ulna, subs for opn fx type I/2 w malunion
S52.092R@Oth fx upr end l ulna, 7thR
S52.092S@Other fracture of upper end of left ulna, sequela
S52.099A@Oth fracture of upper end of unsp ulna, init for clos fx
S52.099B@Oth fx upper end of unsp ulna, init for opn fx type I/2
S52.099C@Oth fx upper end of unsp ulna, init for opn fx type 3A/B/C
S52.099D@Oth fx upper end of unsp ulna, subs for clos fx w routn heal
S52.099E@Oth fx upr end unsp ulna, 7thE
S52.099F@Oth fx upr end unsp ulna, 7thF
S52.099G@Oth fx upper end of unsp ulna, subs for clos fx w delay heal
S52.099H@Oth fx upr end unsp ulna, 7thH
S52.099J@Oth fx upr end unsp ulna, 7thJ
S52.099K@Oth fx upper end of unsp ulna, subs for clos fx w nonunion
S52.099M@Oth fx upr end unsp ulna, 7thM
S52.099N@Oth fx upr end unsp ulna, 7thN
S52.099P@Oth fx upper end of unsp ulna, subs for clos fx w malunion
S52.099Q@Oth fx upr end unsp ulna, 7thQ
S52.099R@Oth fx upr end unsp ulna, 7thR
S52.099S@Other fracture of upper end of unspecified ulna, sequela
S52.101A@Unsp fracture of upper end of right radius, init for clos fx
S52.101B@Unsp fx upper end of r radius, init for opn fx type I/2
S52.101C@Unsp fx upper end of r radius, init for opn fx type 3A/B/C
S52.101D@Unsp fx upper end of r radius, subs for clos fx w routn heal
S52.101E@Unsp fx upr end r rad, subs for opn fx type I/2 w routn heal
S52.101F@Unsp fx upr end r rad, 7thF
S52.101G@Unsp fx upper end of r radius, subs for clos fx w delay heal
S52.101H@Unsp fx upr end r rad, subs for opn fx type I/2 w delay heal
S52.101J@Unsp fx upr end r rad, 7thJ
S52.101K@Unsp fx upper end of r radius, subs for clos fx w nonunion
S52.101M@Unsp fx upper end r rad, subs for opn fx type I/2 w nonunion
S52.101N@Unsp fx upr end r rad, 7thN
S52.101P@Unsp fx upper end of r radius, subs for clos fx w malunion
S52.101Q@Unsp fx upper end r rad, subs for opn fx type I/2 w malunion
S52.101R@Unsp fx upr end r rad, 7thR
S52.101S@Unspecified fracture of upper end of right radius, sequela
S52.102A@Unsp fracture of upper end of left radius, init for clos fx
S52.102B@Unsp fx upper end of left radius, init for opn fx type I/2
S52.102C@Unsp fx upper end left radius, init for opn fx type 3A/B/C
S52.102D@Unsp fx upper end left radius, subs for clos fx w routn heal
S52.102E@Unsp fx upr end l rad, subs for opn fx type I/2 w routn heal
S52.102F@Unsp fx upr end l rad, 7thF
S52.102G@Unsp fx upper end left radius, subs for clos fx w delay heal
S52.102H@Unsp fx upr end l rad, subs for opn fx type I/2 w delay heal
S52.102J@Unsp fx upr end l rad, 7thJ
S52.102K@Unsp fx upper end left radius, subs for clos fx w nonunion
S52.102M@Unsp fx upr end l rad, subs for opn fx type I/2 w nonunion
S52.102N@Unsp fx upr end l rad, 7thN
S52.102P@Unsp fx upper end left radius, subs for clos fx w malunion
S52.102Q@Unsp fx upr end l rad, subs for opn fx type I/2 w malunion
S52.102R@Unsp fx upr end l rad, 7thR
S52.102S@Unspecified fracture of upper end of left radius, sequela
S52.109A@Unsp fracture of upper end of unsp radius, init for clos fx
S52.109B@Unsp fx upper end of unsp radius, init for opn fx type I/2
S52.109C@Unsp fx upper end unsp radius, init for opn fx type 3A/B/C
S52.109D@Unsp fx upper end unsp radius, subs for clos fx w routn heal
S52.109E@Unsp fx upr end unsp rad, 7thE
S52.109F@Unsp fx upr end unsp rad, 7thF
S52.109G@Unsp fx upper end unsp radius, subs for clos fx w delay heal
S52.109H@Unsp fx upr end unsp rad, 7thH
S52.109J@Unsp fx upr end unsp rad, 7thJ
S52.109K@Unsp fx upper end unsp radius, subs for clos fx w nonunion
S52.109M@Unsp fx upr end unsp rad, 7thM
S52.109N@Unsp fx upr end unsp rad, 7thN
S52.109P@Unsp fx upper end unsp radius, subs for clos fx w malunion
S52.109Q@Unsp fx upr end unsp rad, 7thQ
S52.109R@Unsp fx upr end unsp rad, 7thR
S52.109S@Unsp fracture of upper end of unspecified radius, sequela
S52.111A@Torus fracture of upper end of right radius, init
S52.111D@Torus fx upper end of r radius, subs for fx w routn heal
S52.111G@Torus fx upper end of r radius, subs for fx w delay heal
S52.111K@Torus fx upper end of r radius, subs for fx w nonunion
S52.111P@Torus fx upper end of r radius, subs for fx w malunion
S52.111S@Torus fracture of upper end of right radius, sequela
S52.112A@Torus fracture of upper end of left radius, init for clos fx
S52.112D@Torus fx upper end of left radius, subs for fx w routn heal
S52.112G@Torus fx upper end of left radius, subs for fx w delay heal
S52.112K@Torus fx upper end of left radius, subs for fx w nonunion
S52.112P@Torus fx upper end of left radius, subs for fx w malunion
S52.112S@Torus fracture of upper end of left radius, sequela
S52.119A@Torus fracture of upper end of unsp radius, init for clos fx
S52.119D@Torus fx upper end of unsp radius, subs for fx w routn heal
S52.119G@Torus fx upper end of unsp radius, subs for fx w delay heal
S52.119K@Torus fx upper end of unsp radius, subs for fx w nonunion
S52.119P@Torus fx upper end of unsp radius, subs for fx w malunion
S52.119S@Torus fracture of upper end of unspecified radius, sequela
S52.121A@Disp fx of head of right radius, init for clos fx
S52.121B@Disp fx of head of right radius, init for opn fx type I/2
S52.121C@Disp fx of head of right radius, init for opn fx type 3A/B/C
S52.121D@Disp fx of head of r radius, subs for clos fx w routn heal
S52.121E@Disp fx of head of r rad, 7thE
S52.121F@Disp fx of head of r rad, 7thF
S52.121G@Disp fx of head of r radius, subs for clos fx w delay heal
S52.121H@Disp fx of head of r rad, 7thH
S52.121J@Disp fx of head of r rad, 7thJ
S52.121K@Disp fx of head of right radius, subs for clos fx w nonunion
S52.121M@Disp fx of head of r rad, 7thM
S52.121N@Disp fx of head of r rad, 7thN
S52.121P@Disp fx of head of right radius, subs for clos fx w malunion
S52.121Q@Disp fx of head of r rad, 7thQ
S52.121R@Disp fx of head of r rad, 7thR
S52.121S@Displaced fracture of head of right radius, sequela
S52.122A@Disp fx of head of left radius, init for clos fx
