S60.00XA@Contusion of unsp finger without damage to nail, init encntr
S61.011A@Laceration w/o fb of right thumb w/o damage to nail, init
S61.011D@Laceration w/o fb of right thumb w/o damage to nail, subs
S61.011S@Laceration w/o fb of right thumb w/o damage to nail, sequela
S61.012A@Laceration w/o fb of left thumb w/o damage to nail, init
S61.012D@Laceration w/o fb of left thumb w/o damage to nail, subs
S61.012S@Laceration w/o fb of left thumb w/o damage to nail, sequela
S61.019A@Laceration w/o foreign body of thmb w/o damage to nail, init
S61.019D@Laceration w/o foreign body of thmb w/o damage to nail, subs
S61.019S@Laceration w/o fb of thmb w/o damage to nail, sequela
S61.021A@Laceration w fb of right thumb w/o damage to nail, init
S61.021D@Laceration w fb of right thumb w/o damage to nail, subs
S61.021S@Laceration w fb of right thumb w/o damage to nail, sequela
S61.022A@Laceration w fb of left thumb w/o damage to nail, init
S61.022D@Laceration w fb of left thumb w/o damage to nail, subs
S61.022S@Laceration w fb of left thumb w/o damage to nail, sequela
S61.029A@Laceration w foreign body of thmb w/o damage to nail, init
S61.029D@Laceration w foreign body of thmb w/o damage to nail, subs
S61.029S@Laceration w fb of thmb w/o damage to nail, sequela
S61.031A@Pnctr w/o fb of right thumb w/o damage to nail, init
S61.031D@Pnctr w/o fb of right thumb w/o damage to nail, subs
S61.031S@Pnctr w/o fb of right thumb w/o damage to nail, sequela
S61.032A@Pnctr w/o fb of left thumb w/o damage to nail, init
S61.032D@Pnctr w/o fb of left thumb w/o damage to nail, subs
S61.032S@Pnctr w/o fb of left thumb w/o damage to nail, sequela
S61.039A@Pnctr w/o foreign body of thmb w/o damage to nail, init
S61.039D@Pnctr w/o foreign body of thmb w/o damage to nail, subs
S61.039S@Pnctr w/o foreign body of thmb w/o damage to nail, sequela
S61.041A@Pnctr w foreign body of right thumb w/o damage to nail, init
S61.041D@Pnctr w foreign body of right thumb w/o damage to nail, subs
S61.041S@Pnctr w fb of right thumb w/o damage to nail, sequela
S61.042A@Pnctr w foreign body of left thumb w/o damage to nail, init
S61.042D@Pnctr w foreign body of left thumb w/o damage to nail, subs
S61.042S@Pnctr w fb of left thumb w/o damage to nail, sequela
S61.049A@Pnctr w foreign body of thmb w/o damage to nail, init
S61.049D@Pnctr w foreign body of thmb w/o damage to nail, subs
S61.049S@Pnctr w foreign body of thmb w/o damage to nail, sequela
S61.051A@Open bite of right thumb without damage to nail, init encntr
S61.051D@Open bite of right thumb without damage to nail, subs encntr
S61.051S@Open bite of right thumb without damage to nail, sequela
S61.052A@Open bite of left thumb without damage to nail, init encntr
S61.052D@Open bite of left thumb without damage to nail, subs encntr
S61.052S@Open bite of left thumb without damage to nail, sequela
S61.059A@Open bite of unsp thumb without damage to nail, init encntr
S61.059D@Open bite of unsp thumb without damage to nail, subs encntr
S61.059S@Open bite of unsp thumb without damage to nail, sequela
S61.101A@Unsp open wound of right thumb w damage to nail, init encntr
S61.101D@Unsp open wound of right thumb w damage to nail, subs encntr
S61.101S@Unsp open wound of right thumb with damage to nail, sequela
S61.102A@Unsp open wound of left thumb w damage to nail, init encntr
S61.102D@Unsp open wound of left thumb w damage to nail, subs encntr
S61.102S@Unsp open wound of left thumb with damage to nail, sequela
S61.109A@Unsp open wound of unsp thumb w damage to nail, init encntr
S61.109D@Unsp open wound of unsp thumb w damage to nail, subs encntr
S61.109S@Unsp open wound of unsp thumb with damage to nail, sequela
S61.111A@Laceration w/o fb of right thumb w damage to nail, init
S61.111D@Laceration w/o fb of right thumb w damage to nail, subs
S61.111S@Laceration w/o fb of right thumb w damage to nail, sequela
S61.112A@Laceration w/o fb of left thumb w damage to nail, init
S61.112D@Laceration w/o fb of left thumb w damage to nail, subs
S61.112S@Laceration w/o fb of left thumb w damage to nail, sequela
S61.119A@Laceration w/o foreign body of thmb w damage to nail, init
S61.119D@Laceration w/o foreign body of thmb w damage to nail, subs
S61.119S@Laceration w/o fb of thmb w damage to nail, sequela
S61.121A@Laceration w fb of right thumb w damage to nail, init
S61.121D@Laceration w fb of right thumb w damage to nail, subs
S61.121S@Laceration w fb of right thumb w damage to nail, sequela
S61.122A@Laceration w fb of left thumb w damage to nail, init
S61.122D@Laceration w fb of left thumb w damage to nail, subs
S61.122S@Laceration w fb of left thumb w damage to nail, sequela
S61.129A@Laceration w foreign body of thmb w damage to nail, init
S61.129D@Laceration w foreign body of thmb w damage to nail, subs
S61.129S@Laceration w foreign body of thmb w damage to nail, sequela
S61.131A@Pnctr w/o foreign body of right thumb w damage to nail, init
S61.131D@Pnctr w/o foreign body of right thumb w damage to nail, subs
S61.131S@Pnctr w/o fb of right thumb w damage to nail, sequela
S61.132A@Pnctr w/o foreign body of left thumb w damage to nail, init
S61.132D@Pnctr w/o foreign body of left thumb w damage to nail, subs
S61.132S@Pnctr w/o fb of left thumb w damage to nail, sequela
S61.139A@Pnctr w/o foreign body of thmb w damage to nail, init
S61.139D@Pnctr w/o foreign body of thmb w damage to nail, subs
S61.139S@Pnctr w/o foreign body of thmb w damage to nail, sequela
S61.141A@Pnctr w foreign body of right thumb w damage to nail, init
S61.141D@Pnctr w foreign body of right thumb w damage to nail, subs
S61.141S@Pnctr w fb of right thumb w damage to nail, sequela
S61.142A@Pnctr w foreign body of left thumb w damage to nail, init
S61.142D@Pnctr w foreign body of left thumb w damage to nail, subs
S61.142S@Pnctr w foreign body of left thumb w damage to nail, sequela
S61.149A@Puncture wound w foreign body of thmb w damage to nail, init
S61.149D@Puncture wound w foreign body of thmb w damage to nail, subs
S61.149S@Pnctr w foreign body of thmb w damage to nail, sequela
S61.151A@Open bite of right thumb with damage to nail, init encntr
S61.151D@Open bite of right thumb with damage to nail, subs encntr
S61.151S@Open bite of right thumb with damage to nail, sequela
S61.152A@Open bite of left thumb with damage to nail, init encntr
S61.152D@Open bite of left thumb with damage to nail, subs encntr
S61.152S@Open bite of left thumb with damage to nail, sequela
S61.159A@Open bite of unsp thumb with damage to nail, init encntr
S61.159D@Open bite of unsp thumb with damage to nail, subs encntr
S61.159S@Open bite of unspecified thumb with damage to nail, sequela
S61.200A@Unsp open wound of r idx fngr w/o damage to nail, init
S61.200D@Unsp open wound of r idx fngr w/o damage to nail, subs
S61.200S@Unsp open wound of r idx fngr w/o damage to nail, sequela
S61.201A@Unsp open wound of l idx fngr w/o damage to nail, init
S61.201D@Unsp open wound of l idx fngr w/o damage to nail, subs
S61.201S@Unsp open wound of l idx fngr w/o damage to nail, sequela
S61.202A@Unsp open wound of r mid finger w/o damage to nail, init
S61.202D@Unsp open wound of r mid finger w/o damage to nail, subs
S61.202S@Unsp open wound of r mid finger w/o damage to nail, sequela
S61.203A@Unsp open wound of l mid finger w/o damage to nail, init
S61.203D@Unsp open wound of l mid finger w/o damage to nail, subs
S61.203S@Unsp open wound of l mid finger w/o damage to nail, sequela
S61.204A@Unsp open wound of r rng fngr w/o damage to nail, init
S61.204D@Unsp open wound of r rng fngr w/o damage to nail, subs
S61.204S@Unsp open wound of r rng fngr w/o damage to nail, sequela
S61.205A@Unsp open wound of left ring finger w/o damage to nail, init
S61.205D@Unsp open wound of left ring finger w/o damage to nail, subs
S61.205S@Unsp open wound of l rng fngr w/o damage to nail, sequela
S61.206A@Unsp open wound of r little finger w/o damage to nail, init
S61.206D@Unsp open wound of r little finger w/o damage to nail, subs
S61.206S@Unsp opn wnd r little finger w/o damage to nail, sequela
S61.207A@Unsp open wound of l little finger w/o damage to nail, init
S61.207D@Unsp open wound of l little finger w/o damage to nail, subs
S61.207S@Unsp opn wnd l little finger w/o damage to nail, sequela
S61.208A@Unsp open wound of oth finger w/o damage to nail, init
S61.208D@Unsp open wound of oth finger w/o damage to nail, subs
S61.208S@Unsp open wound of other finger w/o damage to nail, sequela
S61.209A@Unsp open wound of unsp finger w/o damage to nail, init
S61.209D@Unsp open wound of unsp finger w/o damage to nail, subs
S61.209S@Unsp open wound of unsp finger w/o damage to nail, sequela
S61.210A@Laceration w/o fb of r idx fngr w/o damage to nail, init
S61.210D@Laceration w/o fb of r idx fngr w/o damage to nail, subs
S61.210S@Laceration w/o fb of r idx fngr w/o damage to nail, sequela
S61.211A@Laceration w/o fb of l idx fngr w/o damage to nail, init
S61.211D@Laceration w/o fb of l idx fngr w/o damage to nail, subs
S61.211S@Laceration w/o fb of l idx fngr w/o damage to nail, sequela
S61.212A@Laceration w/o fb of r mid finger w/o damage to nail, init
S61.212D@Laceration w/o fb of r mid finger w/o damage to nail, subs
S61.212S@Lac w/o fb of r mid finger w/o damage to nail, sequela
S61.213A@Laceration w/o fb of l mid finger w/o damage to nail, init
S61.213D@Laceration w/o fb of l mid finger w/o damage to nail, subs
S61.213S@Lac w/o fb of l mid finger w/o damage to nail, sequela
S61.214A@Laceration w/o fb of r rng fngr w/o damage to nail, init
S61.214D@Laceration w/o fb of r rng fngr w/o damage to nail, subs
S61.214S@Laceration w/o fb of r rng fngr w/o damage to nail, sequela
S61.215A@Laceration w/o fb of l rng fngr w/o damage to nail, init
S61.215D@Laceration w/o fb of l rng fngr w/o damage to nail, subs
S61.215S@Laceration w/o fb of l rng fngr w/o damage to nail, sequela
S61.216A@Lac w/o fb of r little finger w/o damage to nail, init
S61.216D@Lac w/o fb of r little finger w/o damage to nail, subs
S61.216S@Lac w/o fb of r little finger w/o damage to nail, sequela
S61.217A@Lac w/o fb of l little finger w/o damage to nail, init
S61.217D@Lac w/o fb of l little finger w/o damage to nail, subs
S61.217S@Lac w/o fb of l little finger w/o damage to nail, sequela
S61.218A@Laceration w/o fb of finger w/o damage to nail, init
S61.218D@Laceration w/o fb of finger w/o damage to nail, subs
S61.218S@Laceration w/o fb of finger w/o damage to nail, sequela
S61.219A@Laceration w/o fb of unsp finger w/o damage to nail, init
S61.219D@Laceration w/o fb of unsp finger w/o damage to nail, subs
S61.219S@Laceration w/o fb of unsp finger w/o damage to nail, sequela
S61.220A@Laceration w fb of r idx fngr w/o damage to nail, init
S61.220D@Laceration w fb of r idx fngr w/o damage to nail, subs
S61.220S@Laceration w fb of r idx fngr w/o damage to nail, sequela
S61.221A@Laceration w fb of l idx fngr w/o damage to nail, init
S61.221D@Laceration w fb of l idx fngr w/o damage to nail, subs
S61.221S@Laceration w fb of l idx fngr w/o damage to nail, sequela
S61.222A@Laceration w fb of r mid finger w/o damage to nail, init
S61.222D@Laceration w fb of r mid finger w/o damage to nail, subs
S61.222S@Laceration w fb of r mid finger w/o damage to nail, sequela
S61.223A@Laceration w fb of l mid finger w/o damage to nail, init
