S40.011A@Contusion of right shoulder, initial encounter
S43.202A@Unsp subluxation of left sternoclavicular joint, init encntr
S43.202D@Unsp subluxation of left sternoclavicular joint, subs encntr
S43.202S@Unsp subluxation of left sternoclavicular joint, sequela
S43.203A@Unsp subluxation of unsp sternoclavicular joint, init encntr
S43.203D@Unsp subluxation of unsp sternoclavicular joint, subs encntr
S43.203S@Unsp subluxation of unsp sternoclavicular joint, sequela
S43.204A@Unsp dislocation of right sternoclavicular joint, init
S43.204D@Unsp dislocation of right sternoclavicular joint, subs
S43.204S@Unsp dislocation of right sternoclavicular joint, sequela
S43.205A@Unsp dislocation of left sternoclavicular joint, init encntr
S43.205D@Unsp dislocation of left sternoclavicular joint, subs encntr
S43.205S@Unsp dislocation of left sternoclavicular joint, sequela
S43.206A@Unsp dislocation of unsp sternoclavicular joint, init encntr
S43.206D@Unsp dislocation of unsp sternoclavicular joint, subs encntr
S43.206S@Unsp dislocation of unsp sternoclavicular joint, sequela
S43.211A@Anterior subluxation of right sternoclavicular joint, init
S43.211D@Anterior subluxation of right sternoclavicular joint, subs
S43.211S@Anterior subluxation of r sternoclav jt, sequela
S43.212A@Anterior subluxation of left sternoclavicular joint, init
S43.212D@Anterior subluxation of left sternoclavicular joint, subs
S43.212S@Anterior subluxation of left sternoclavicular joint, sequela
S43.213A@Anterior subluxation of unsp sternoclavicular joint, init
S43.213D@Anterior subluxation of unsp sternoclavicular joint, subs
S43.213S@Anterior subluxation of unsp sternoclavicular joint, sequela
S43.214A@Anterior dislocation of right sternoclavicular joint, init
S43.214D@Anterior dislocation of right sternoclavicular joint, subs
S43.214S@Anterior dislocation of r sternoclav jt, sequela
S43.215A@Anterior dislocation of left sternoclavicular joint, init
S43.215D@Anterior dislocation of left sternoclavicular joint, subs
S43.215S@Anterior dislocation of left sternoclavicular joint, sequela
S43.216A@Anterior dislocation of unsp sternoclavicular joint, init
S43.216D@Anterior dislocation of unsp sternoclavicular joint, subs
S43.216S@Anterior dislocation of unsp sternoclavicular joint, sequela
S43.221A@Posterior subluxation of right sternoclavicular joint, init
S43.221D@Posterior subluxation of right sternoclavicular joint, subs
S43.221S@Posterior subluxation of r sternoclav jt, sequela
S43.222A@Posterior subluxation of left sternoclavicular joint, init
S43.222D@Posterior subluxation of left sternoclavicular joint, subs
S43.222S@Posterior subluxation of l sternoclav jt, sequela
S43.223A@Posterior subluxation of unsp sternoclavicular joint, init
S43.223D@Posterior subluxation of unsp sternoclavicular joint, subs
S43.223S@Posterior subluxation of unsp sternoclav jt, sequela
S43.224A@Posterior dislocation of right sternoclavicular joint, init
S43.224D@Posterior dislocation of right sternoclavicular joint, subs
S43.224S@Posterior dislocation of r sternoclav jt, sequela
S43.225A@Posterior dislocation of left sternoclavicular joint, init
S43.225D@Posterior dislocation of left sternoclavicular joint, subs
S43.225S@Posterior dislocation of l sternoclav jt, sequela
S43.226A@Posterior dislocation of unsp sternoclavicular joint, init
S43.226D@Posterior dislocation of unsp sternoclavicular joint, subs
S43.226S@Posterior dislocation of unsp sternoclav jt, sequela
S43.301A@Subluxation of unsp parts of right shoulder girdle, init
S43.301D@Subluxation of unsp parts of right shoulder girdle, subs
S43.301S@Subluxation of unsp parts of right shoulder girdle, sequela
S43.302A@Subluxation of unsp parts of left shoulder girdle, init
S43.302D@Subluxation of unsp parts of left shoulder girdle, subs
S43.302S@Subluxation of unsp parts of left shoulder girdle, sequela
S43.303A@Subluxation of unsp parts of unsp shoulder girdle, init
S43.303D@Subluxation of unsp parts of unsp shoulder girdle, subs
S43.303S@Subluxation of unsp parts of unsp shoulder girdle, sequela
S43.304A@Dislocation of unsp parts of right shoulder girdle, init
S43.304D@Dislocation of unsp parts of right shoulder girdle, subs
S43.304S@Dislocation of unsp parts of right shoulder girdle, sequela
S43.305A@Dislocation of unsp parts of left shoulder girdle, init
S43.305D@Dislocation of unsp parts of left shoulder girdle, subs
S43.305S@Dislocation of unsp parts of left shoulder girdle, sequela
S43.306A@Dislocation of unsp parts of unsp shoulder girdle, init
S43.306D@Dislocation of unsp parts of unsp shoulder girdle, subs
S43.306S@Dislocation of unsp parts of unsp shoulder girdle, sequela
S43.311A@Subluxation of right scapula, initial encounter
S43.311D@Subluxation of right scapula, subsequent encounter
S43.311S@Subluxation of right scapula, sequela
S43.312A@Subluxation of left scapula, initial encounter
S43.312D@Subluxation of left scapula, subsequent encounter
S43.312S@Subluxation of left scapula, sequela
S43.313A@Subluxation of unspecified scapula, initial encounter
S43.313D@Subluxation of unspecified scapula, subsequent encounter
S43.313S@Subluxation of unspecified scapula, sequela
S43.314A@Dislocation of right scapula, initial encounter
S43.314D@Dislocation of right scapula, subsequent encounter
S43.314S@Dislocation of right scapula, sequela
S43.315A@Dislocation of left scapula, initial encounter
S43.315D@Dislocation of left scapula, subsequent encounter
S43.315S@Dislocation of left scapula, sequela
S43.316A@Dislocation of unspecified scapula, initial encounter
S43.316D@Dislocation of unspecified scapula, subsequent encounter
S43.316S@Dislocation of unspecified scapula, sequela
S43.391A@Subluxation of oth prt right shoulder girdle, init encntr
S43.391D@Subluxation of oth prt right shoulder girdle, subs encntr
S43.391S@Subluxation of other parts of right shoulder girdle, sequela
S43.392A@Subluxation of oth prt left shoulder girdle, init encntr
S43.392D@Subluxation of oth prt left shoulder girdle, subs encntr
S43.392S@Subluxation of other parts of left shoulder girdle, sequela
S43.393A@Subluxation of oth prt unsp shoulder girdle, init encntr
S43.393D@Subluxation of oth prt unsp shoulder girdle, subs encntr
S43.393S@Subluxation of other parts of unsp shoulder girdle, sequela
S43.394A@Dislocation of oth prt right shoulder girdle, init encntr
S43.394D@Dislocation of oth prt right shoulder girdle, subs encntr
S43.394S@Dislocation of other parts of right shoulder girdle, sequela
S43.395A@Dislocation of oth prt left shoulder girdle, init encntr
S43.395D@Dislocation of oth prt left shoulder girdle, subs encntr
S43.395S@Dislocation of other parts of left shoulder girdle, sequela
S43.396A@Dislocation of oth prt unsp shoulder girdle, init encntr
S43.396D@Dislocation of oth prt unsp shoulder girdle, subs encntr
S43.396S@Dislocation of other parts of unsp shoulder girdle, sequela
S43.401A@Unspecified sprain of right shoulder joint, init encntr
S43.401D@Unspecified sprain of right shoulder joint, subs encntr
S43.401S@Unspecified sprain of right shoulder joint, sequela
S43.402A@Unspecified sprain of left shoulder joint, initial encounter
S43.402D@Unspecified sprain of left shoulder joint, subs encntr
S43.402S@Unspecified sprain of left shoulder joint, sequela
S43.409A@Unsp sprain of unspecified shoulder joint, init encntr
S43.409D@Unsp sprain of unspecified shoulder joint, subs encntr
S43.409S@Unspecified sprain of unspecified shoulder joint, sequela
S43.411A@Sprain of right coracohumeral (ligament), initial encounter
S43.411D@Sprain of right coracohumeral (ligament), subs encntr
S43.411S@Sprain of right coracohumeral (ligament), sequela
S43.412A@Sprain of left coracohumeral (ligament), initial encounter
S43.412D@Sprain of left coracohumeral (ligament), subs encntr
S43.412S@Sprain of left coracohumeral (ligament), sequela
S43.419A@Sprain of unspecified coracohumeral (ligament), init encntr
S43.419D@Sprain of unspecified coracohumeral (ligament), subs encntr
S43.419S@Sprain of unspecified coracohumeral (ligament), sequela
S43.421A@Sprain of right rotator cuff capsule, initial encounter
S43.421D@Sprain of right rotator cuff capsule, subsequent encounter
S43.421S@Sprain of right rotator cuff capsule, sequela
S43.422A@Sprain of left rotator cuff capsule, initial encounter
S43.422D@Sprain of left rotator cuff capsule, subsequent encounter
S43.422S@Sprain of left rotator cuff capsule, sequela
S43.429A@Sprain of unspecified rotator cuff capsule, init encntr
S43.429D@Sprain of unspecified rotator cuff capsule, subs encntr
S43.429S@Sprain of unspecified rotator cuff capsule, sequela
S43.431A@Superior glenoid labrum lesion of right shoulder, init
S43.431D@Superior glenoid labrum lesion of right shoulder, subs
S43.431S@Superior glenoid labrum lesion of right shoulder, sequela
S43.432A@Superior glenoid labrum lesion of left shoulder, init encntr
S43.432D@Superior glenoid labrum lesion of left shoulder, subs encntr
S43.432S@Superior glenoid labrum lesion of left shoulder, sequela
S43.439A@Superior glenoid labrum lesion of unsp shoulder, init encntr
S43.439D@Superior glenoid labrum lesion of unsp shoulder, subs encntr
S43.439S@Superior glenoid labrum lesion of unsp shoulder, sequela
S43.491A@Other sprain of right shoulder joint, initial encounter
S43.491D@Other sprain of right shoulder joint, subsequent encounter
S43.491S@Other sprain of right shoulder joint, sequela
S43.492A@Other sprain of left shoulder joint, initial encounter
S43.492D@Other sprain of left shoulder joint, subsequent encounter
S43.492S@Other sprain of left shoulder joint, sequela
S43.499A@Other sprain of unspecified shoulder joint, init encntr
S43.499D@Other sprain of unspecified shoulder joint, subs encntr
S43.499S@Other sprain of unspecified shoulder joint, sequela
S43.50XA@Sprain of unspecified acromioclavicular joint, init encntr
S43.50XD@Sprain of unspecified acromioclavicular joint, subs encntr
S43.50XS@Sprain of unspecified acromioclavicular joint, sequela
S43.51XA@Sprain of right acromioclavicular joint, initial encounter
S43.51XD@Sprain of right acromioclavicular joint, subs encntr
S43.51XS@Sprain of right acromioclavicular joint, sequela
S43.52XA@Sprain of left acromioclavicular joint, initial encounter
S43.52XD@Sprain of left acromioclavicular joint, subsequent encounter
S43.52XS@Sprain of left acromioclavicular joint, sequela
S43.60XA@Sprain of unspecified sternoclavicular joint, init encntr
S43.60XD@Sprain of unspecified sternoclavicular joint, subs encntr
S43.60XS@Sprain of unspecified sternoclavicular joint, sequela
S43.61XA@Sprain of right sternoclavicular joint, initial encounter
S43.61XD@Sprain of right sternoclavicular joint, subsequent encounter
S43.61XS@Sprain of right sternoclavicular joint, sequela
S43.62XA@Sprain of left sternoclavicular joint, initial encounter
S43.62XD@Sprain of left sternoclavicular joint, subsequent encounter
S43.62XS@Sprain of left sternoclavicular joint, sequela
S43.80XA@Sprain of oth parts of unsp shoulder girdle, init encntr
S43.80XD@Sprain of oth parts of unsp shoulder girdle, subs encntr
S43.80XS@Sprain of oth parts of unspecified shoulder girdle, sequela
S43.81XA@Sprain of oth parts of right shoulder girdle, init encntr
S43.81XD@Sprain of oth parts of right shoulder girdle, subs encntr
S43.81XS@Sprain of oth parts of right shoulder girdle, sequela
S43.82XA@Sprain of oth parts of left shoulder girdle, init encntr
S43.82XD@Sprain of oth parts of left shoulder girdle, subs encntr
S43.82XS@Sprain of oth parts of left shoulder girdle, sequela
S43.90XA@Sprain of unsp parts of unsp shoulder girdle, init encntr
S43.90XD@Sprain of unsp parts of unsp shoulder girdle, subs encntr
S43.90XS@Sprain of unsp parts of unspecified shoulder girdle, sequela
S43.91XA@Sprain of unsp parts of right shoulder girdle, init encntr
S43.91XD@Sprain of unsp parts of right shoulder girdle, subs encntr
S43.91XS@Sprain of unsp parts of right shoulder girdle, sequela
S43.92XA@Sprain of unsp parts of left shoulder girdle, init encntr
S43.92XD@Sprain of unsp parts of left shoulder girdle, subs encntr
S43.92XS@Sprain of unspecified parts of left shoulder girdle, sequela
S44.00XA@Injury of ulnar nerve at upper arm level, unsp arm, init
S44.00XD@Injury of ulnar nerve at upper arm level, unsp arm, subs
S44.00XS@Injury of ulnar nerve at upper arm level, unsp arm, sequela
S44.01XA@Injury of ulnar nerve at upper arm level, right arm, init
S44.01XD@Injury of ulnar nerve at upper arm level, right arm, subs
S44.01XS@Injury of ulnar nerve at upper arm level, right arm, sequela
S44.02XA@Injury of ulnar nerve at upper arm level, left arm, init
S44.02XD@Injury of ulnar nerve at upper arm level, left arm, subs
S44.02XS@Injury of ulnar nerve at upper arm level, left arm, sequela
S44.10XA@Injury of median nerve at upper arm level, unsp arm, init
S44.10XD@Injury of median nerve at upper arm level, unsp arm, subs
S44.10XS@Injury of median nerve at upper arm level, unsp arm, sequela
S44.11XA@Injury of median nerve at upper arm level, right arm, init
S44.11XD@Injury of median nerve at upper arm level, right arm, subs
S44.11XS@Injury of median nrv at upper arm level, right arm, sequela
S44.12XA@Injury of median nerve at upper arm level, left arm, init
S44.12XD@Injury of median nerve at upper arm level, left arm, subs
S44.12XS@Injury of median nerve at upper arm level, left arm, sequela
S44.20XA@Injury of radial nerve at upper arm level, unsp arm, init
S44.20XD@Injury of radial nerve at upper arm level, unsp arm, subs
S44.20XS@Injury of radial nerve at upper arm level, unsp arm, sequela
S44.21XA@Injury of radial nerve at upper arm level, right arm, init
S44.21XD@Injury of radial nerve at upper arm level, right arm, subs
S44.21XS@Injury of radial nrv at upper arm level, right arm, sequela
S44.22XA@Injury of radial nerve at upper arm level, left arm, init
S44.22XD@Injury of radial nerve at upper arm level, left arm, subs
S44.22XS@Injury of radial nerve at upper arm level, left arm, sequela
S44.30XA@Injury of axillary nerve, unspecified arm, initial encounter
S44.30XD@Injury of axillary nerve, unspecified arm, subs encntr
S44.30XS@Injury of axillary nerve, unspecified arm, sequela
S44.31XA@Injury of axillary nerve, right arm, initial encounter
S44.31XD@Injury of axillary nerve, right arm, subsequent encounter
S44.31XS@Injury of axillary nerve, right arm, sequela
S44.32XA@Injury of axillary nerve, left arm, initial encounter
S44.32XD@Injury of axillary nerve, left arm, subsequent encounter
S44.32XS@Injury of axillary nerve, left arm, sequela
S44.40XA@Injury of musculocutaneous nerve, unsp arm, init encntr
S44.40XD@Injury of musculocutaneous nerve, unsp arm, subs encntr
S44.40XS@Injury of musculocutaneous nerve, unspecified arm, sequela
S44.41XA@Injury of musculocutaneous nerve, right arm, init encntr
S44.41XD@Injury of musculocutaneous nerve, right arm, subs encntr
S44.41XS@Injury of musculocutaneous nerve, right arm, sequela
S44.42XA@Injury of musculocutaneous nerve, left arm, init encntr
S44.42XD@Injury of musculocutaneous nerve, left arm, subs encntr
S44.42XS@Injury of musculocutaneous nerve, left arm, sequela
S44.50XA@Inj cutan sensory nerve at shldr/up arm, unsp arm, init
S44.50XD@Inj cutan sensory nerve at shldr/up arm, unsp arm, subs
S44.50XS@Inj cutan sensory nerve at shldr/up arm, unsp arm, sequela
S44.51XA@Inj cutan sensory nerve at shldr/up arm, right arm, init
S44.51XD@Inj cutan sensory nerve at shldr/up arm, right arm, subs
S44.51XS@Inj cutan sensory nerve at shldr/up arm, right arm, sequela
S44.52XA@Inj cutan sensory nerve at shldr/up arm, left arm, init
S44.52XD@Inj cutan sensory nerve at shldr/up arm, left arm, subs
S44.52XS@Inj cutan sensory nerve at shldr/up arm, left arm, sequela
S44.8X1A@Injury of nerves at shldr/up arm, right arm, init
S44.8X1D@Injury of nerves at shldr/up arm, right arm, subs
S44.8X1S@Injury of nerves at shldr/up arm, right arm, sequela
S44.8X2A@Injury of nerves at shldr/up arm, left arm, init
S44.8X2D@Injury of nerves at shldr/up arm, left arm, subs
S44.8X2S@Injury of nerves at shldr/up arm, left arm, sequela
S44.8X9A@Injury of nerves at shldr/up arm, unsp arm, init
S44.8X9D@Injury of nerves at shldr/up arm, unsp arm, subs
S44.8X9S@Injury of nerves at shldr/up arm, unsp arm, sequela
S44.90XA@Injury of unsp nerve at shldr/up arm, unsp arm, init
S44.90XD@Injury of unsp nerve at shldr/up arm, unsp arm, subs
S44.90XS@Injury of unsp nerve at shldr/up arm, unsp arm, sequela
S44.91XA@Injury of unsp nerve at shldr/up arm, right arm, init
S44.91XD@Injury of unsp nerve at shldr/up arm, right arm, subs
S44.91XS@Injury of unsp nerve at shldr/up arm, right arm, sequela
S44.92XA@Injury of unsp nerve at shldr/up arm, left arm, init
S44.92XD@Injury of unsp nerve at shldr/up arm, left arm, subs
S44.92XS@Injury of unsp nerve at shldr/up arm, left arm, sequela
S45.001A@Unsp injury of axillary artery, right side, init encntr
S45.001D@Unsp injury of axillary artery, right side, subs encntr
S45.001S@Unspecified injury of axillary artery, right side, sequela
S45.002A@Unsp injury of axillary artery, left side, init encntr
S45.002D@Unsp injury of axillary artery, left side, subs encntr
S45.002S@Unspecified injury of axillary artery, left side, sequela
S45.009A@Unsp injury of axillary artery, unsp side, init encntr
S45.009D@Unsp injury of axillary artery, unsp side, subs encntr
S45.009S@Unsp injury of axillary artery, unspecified side, sequela
S45.011A@Laceration of axillary artery, right side, initial encounter
S45.011D@Laceration of axillary artery, right side, subs encntr
S45.011S@Laceration of axillary artery, right side, sequela
S45.012A@Laceration of axillary artery, left side, initial encounter
S45.012D@Laceration of axillary artery, left side, subs encntr
S45.012S@Laceration of axillary artery, left side, sequela
S45.019A@Laceration of axillary artery, unspecified side, init encntr
S45.019D@Laceration of axillary artery, unspecified side, subs encntr
S45.019S@Laceration of axillary artery, unspecified side, sequela
S45.091A@Oth injury of axillary artery, right side, init encntr
S45.091D@Oth injury of axillary artery, right side, subs encntr
S45.091S@Oth injury of axillary artery, right side, sequela
S45.092A@Oth injury of axillary artery, left side, init encntr
S45.092D@Oth injury of axillary artery, left side, subs encntr
S45.092S@Oth injury of axillary artery, left side, sequela
S45.099A@Oth injury of axillary artery, unspecified side, init encntr
S45.099D@Oth injury of axillary artery, unspecified side, subs encntr
S45.099S@Oth injury of axillary artery, unspecified side, sequela
S45.101A@Unsp injury of brachial artery, right side, init encntr
S45.101D@Unsp injury of brachial artery, right side, subs encntr
S45.101S@Unspecified injury of brachial artery, right side, sequela
S45.102A@Unsp injury of brachial artery, left side, init encntr
S45.102D@Unsp injury of brachial artery, left side, subs encntr
S45.102S@Unspecified injury of brachial artery, left side, sequela
S45.109A@Unsp injury of brachial artery, unsp side, init encntr
S45.109D@Unsp injury of brachial artery, unsp side, subs encntr
S45.109S@Unsp injury of brachial artery, unspecified side, sequela
S45.111A@Laceration of brachial artery, right side, initial encounter
S45.111D@Laceration of brachial artery, right side, subs encntr
S45.111S@Laceration of brachial artery, right side, sequela
S45.112A@Laceration of brachial artery, left side, initial encounter
S45.112D@Laceration of brachial artery, left side, subs encntr
S45.112S@Laceration of brachial artery, left side, sequela
S45.119A@Laceration of brachial artery, unspecified side, init encntr
S45.119D@Laceration of brachial artery, unspecified side, subs encntr
S45.119S@Laceration of brachial artery, unspecified side, sequela
S45.191A@Oth injury of brachial artery, right side, init encntr
S45.191D@Oth injury of brachial artery, right side, subs encntr
S45.191S@Oth injury of brachial artery, right side, sequela
S45.192A@Oth injury of brachial artery, left side, init encntr
S45.192D@Oth injury of brachial artery, left side, subs encntr
S45.192S@Oth injury of brachial artery, left side, sequela
S45.199A@Oth injury of brachial artery, unspecified side, init encntr
S45.199D@Oth injury of brachial artery, unspecified side, subs encntr
S45.199S@Oth injury of brachial artery, unspecified side, sequela
S45.201A@Unsp injury of axillary or brachial vein, right side, init
S45.201D@Unsp injury of axillary or brachial vein, right side, subs
S45.201S@Unsp injury of axillary or brach vein, right side, sequela
S45.202A@Unsp injury of axillary or brachial vein, left side, init
S45.202D@Unsp injury of axillary or brachial vein, left side, subs
S45.202S@Unsp injury of axillary or brachial vein, left side, sequela
S45.209A@Unsp injury of axillary or brachial vein, unsp side, init
S45.209D@Unsp injury of axillary or brachial vein, unsp side, subs
S45.209S@Unsp injury of axillary or brachial vein, unsp side, sequela
S45.211A@Laceration of axillary or brachial vein, right side, init
S45.211D@Laceration of axillary or brachial vein, right side, subs
S45.211S@Laceration of axillary or brachial vein, right side, sequela
S45.212A@Laceration of axillary or brachial vein, left side, init
S45.212D@Laceration of axillary or brachial vein, left side, subs
S45.212S@Laceration of axillary or brachial vein, left side, sequela
S45.219A@Laceration of axillary or brachial vein, unsp side, init
S45.219D@Laceration of axillary or brachial vein, unsp side, subs
S45.219S@Laceration of axillary or brachial vein, unsp side, sequela
S45.291A@Inj axillary or brachial vein, right side, init encntr
S45.291D@Inj axillary or brachial vein, right side, subs encntr
S45.291S@Oth injury of axillary or brachial vein, right side, sequela
S45.292A@Inj axillary or brachial vein, left side, init encntr
S45.292D@Inj axillary or brachial vein, left side, subs encntr
S45.292S@Oth injury of axillary or brachial vein, left side, sequela
S45.299A@Inj axillary or brachial vein, unsp side, init encntr
S45.299D@Inj axillary or brachial vein, unsp side, subs encntr
S45.299S@Oth injury of axillary or brachial vein, unsp side, sequela
S45.301A@Unsp injury of superfic vn at shldr/up arm, right arm, init
S45.301D@Unsp injury of superfic vn at shldr/up arm, right arm, subs
S45.301S@Unsp inj superfic vn at shldr/up arm, right arm, sequela
S45.302A@Unsp injury of superfic vn at shldr/up arm, left arm, init
S45.302D@Unsp injury of superfic vn at shldr/up arm, left arm, subs
S45.302S@Unsp inj superfic vn at shldr/up arm, left arm, sequela
S45.309A@Unsp injury of superfic vn at shldr/up arm, unsp arm, init
S45.309D@Unsp injury of superfic vn at shldr/up arm, unsp arm, subs
S45.309S@Unsp inj superfic vn at shldr/up arm, unsp arm, sequela
S45.311A@Laceration of superfic vn at shldr/up arm, right arm, init
S45.311D@Laceration of superfic vn at shldr/up arm, right arm, subs
S45.311S@Lacerat superfic vn at shldr/up arm, right arm, sequela
S45.312A@Laceration of superfic vn at shldr/up arm, left arm, init
S45.312D@Laceration of superfic vn at shldr/up arm, left arm, subs
S45.312S@Laceration of superfic vn at shldr/up arm, left arm, sequela
S45.319A@Laceration of superfic vn at shldr/up arm, unsp arm, init
S45.319D@Laceration of superfic vn at shldr/up arm, unsp arm, subs
S45.319S@Laceration of superfic vn at shldr/up arm, unsp arm, sequela
S45.391A@Inj superficial vein at shldr/up arm, right arm, init
S45.391D@Inj superficial vein at shldr/up arm, right arm, subs
S45.391S@Inj superficial vein at shldr/up arm, right arm, sequela
S45.392A@Inj superficial vein at shldr/up arm, left arm, init
S45.392D@Inj superficial vein at shldr/up arm, left arm, subs
S45.392S@Inj superficial vein at shldr/up arm, left arm, sequela
S45.399A@Inj superficial vein at shldr/up arm, unsp arm, init
S45.399D@Inj superficial vein at shldr/up arm, unsp arm, subs
S45.399S@Inj superficial vein at shldr/up arm, unsp arm, sequela
S45.801A@Unsp inj blood vessels at shldr/up arm, right arm, init
S45.801D@Unsp inj blood vessels at shldr/up arm, right arm, subs
S45.801S@Unsp inj blood vessels at shldr/up arm, right arm, sequela
S45.802A@Unsp injury of blood vessels at shldr/up arm, left arm, init
S45.802D@Unsp injury of blood vessels at shldr/up arm, left arm, subs
S45.802S@Unsp inj blood vessels at shldr/up arm, left arm, sequela
S45.809A@Unsp injury of blood vessels at shldr/up arm, unsp arm, init
S45.809D@Unsp injury of blood vessels at shldr/up arm, unsp arm, subs
S45.809S@Unsp inj blood vessels at shldr/up arm, unsp arm, sequela
S45.811A@Laceration of blood vessels at shldr/up arm, right arm, init
S45.811D@Laceration of blood vessels at shldr/up arm, right arm, subs
S45.811S@Lacerat blood vessels at shldr/up arm, right arm, sequela
S45.812A@Laceration of blood vessels at shldr/up arm, left arm, init
S45.812D@Laceration of blood vessels at shldr/up arm, left arm, subs
S45.812S@Lacerat blood vessels at shldr/up arm, left arm, sequela
S45.819A@Laceration of blood vessels at shldr/up arm, unsp arm, init
S45.819D@Laceration of blood vessels at shldr/up arm, unsp arm, subs
S45.819S@Lacerat blood vessels at shldr/up arm, unsp arm, sequela
S45.891A@Inj oth blood vessels at shldr/up arm, right arm, init
S45.891D@Inj oth blood vessels at shldr/up arm, right arm, subs
S45.891S@Inj oth blood vessels at shldr/up arm, right arm, sequela
S45.892A@Inj oth blood vessels at shldr/up arm, left arm, init
S45.892D@Inj oth blood vessels at shldr/up arm, left arm, subs
S45.892S@Inj oth blood vessels at shldr/up arm, left arm, sequela
S45.899A@Inj oth blood vessels at shldr/up arm, unsp arm, init
S45.899D@Inj oth blood vessels at shldr/up arm, unsp arm, subs
S45.899S@Inj oth blood vessels at shldr/up arm, unsp arm, sequela
S45.901A@Unsp inj unsp blood vess at shldr/up arm, right arm, init
S45.901D@Unsp inj unsp blood vess at shldr/up arm, right arm, subs
S45.901S@Unsp inj unsp blood vess at shldr/up arm, right arm, sequela
S45.902A@Unsp inj unsp blood vess at shldr/up arm, left arm, init
S45.902D@Unsp inj unsp blood vess at shldr/up arm, left arm, subs
S45.902S@Unsp inj unsp blood vess at shldr/up arm, left arm, sequela
S45.909A@Unsp inj unsp blood vess at shldr/up arm, unsp arm, init
S45.909D@Unsp inj unsp blood vess at shldr/up arm, unsp arm, subs
S45.909S@Unsp inj unsp blood vess at shldr/up arm, unsp arm, sequela
S45.911A@Lacerat unsp blood vessel at shldr/up arm, right arm, init
S45.911D@Lacerat unsp blood vessel at shldr/up arm, right arm, subs
S45.911S@Lacerat unsp blood vess at shldr/up arm, right arm, sequela
S45.912A@Lacerat unsp blood vessel at shldr/up arm, left arm, init
S45.912D@Lacerat unsp blood vessel at shldr/up arm, left arm, subs
S45.912S@Lacerat unsp blood vessel at shldr/up arm, left arm, sequela
S45.919A@Lacerat unsp blood vessel at shldr/up arm, unsp arm, init
S45.919D@Lacerat unsp blood vessel at shldr/up arm, unsp arm, subs
S45.919S@Lacerat unsp blood vessel at shldr/up arm, unsp arm, sequela
S45.991A@Inj unsp blood vessel at shldr/up arm, right arm, init
S45.991D@Inj unsp blood vessel at shldr/up arm, right arm, subs
S45.991S@Inj unsp blood vessel at shldr/up arm, right arm, sequela
S45.992A@Inj unsp blood vessel at shldr/up arm, left arm, init
S45.992D@Inj unsp blood vessel at shldr/up arm, left arm, subs
S45.992S@Inj unsp blood vessel at shldr/up arm, left arm, sequela
S45.999A@Inj unsp blood vessel at shldr/up arm, unsp arm, init
S45.999D@Inj unsp blood vessel at shldr/up arm, unsp arm, subs
S45.999S@Inj unsp blood vessel at shldr/up arm, unsp arm, sequela
S46.001A@Unsp inj musc/tend the rotator cuff of r shoulder, init
S46.001D@Unsp inj musc/tend the rotator cuff of r shoulder, subs
S46.001S@Unsp inj musc/tend the rotator cuff of r shoulder, sequela
S46.002A@Unsp inj musc/tend the rotator cuff of l shoulder, init
S46.002D@Unsp inj musc/tend the rotator cuff of l shoulder, subs
S46.002S@Unsp inj musc/tend the rotator cuff of l shoulder, sequela
S46.009A@Unsp inj musc/tend the rotator cuff of unsp shoulder, init
S46.009D@Unsp inj musc/tend the rotator cuff of unsp shoulder, subs
S46.009S@Unsp inj musc/tend the rotator cuff of unsp shldr, sequela
S46.011A@Strain of musc/tend the rotator cuff of right shoulder, init
S46.011D@Strain of musc/tend the rotator cuff of right shoulder, subs
S46.011S@Strain of musc/tend the rotator cuff of r shoulder, sequela
S46.012A@Strain of musc/tend the rotator cuff of left shoulder, init
S46.012D@Strain of musc/tend the rotator cuff of left shoulder, subs
S46.012S@Strain of musc/tend the rotator cuff of l shoulder, sequela
S46.019A@Strain of musc/tend the rotator cuff of unsp shoulder, init
S46.019D@Strain of musc/tend the rotator cuff of unsp shoulder, subs
S46.019S@Strain musc/tend the rotator cuff of unsp shoulder, sequela
S46.021A@Laceration of musc/tend the rotator cuff of r shoulder, init
S46.021D@Laceration of musc/tend the rotator cuff of r shoulder, subs
S46.021S@Lacerat musc/tend the rotator cuff of r shoulder, sequela
S46.022A@Lacerat musc/tend the rotator cuff of left shoulder, init
S46.022D@Lacerat musc/tend the rotator cuff of left shoulder, subs
S46.022S@Lacerat musc/tend the rotator cuff of left shoulder, sequela
S46.029A@Lacerat musc/tend the rotator cuff of unsp shoulder, init
S46.029D@Lacerat musc/tend the rotator cuff of unsp shoulder, subs
S46.029S@Lacerat musc/tend the rotator cuff of unsp shoulder, sequela
S46.091A@Inj musc/tend the rotator cuff of right shoulder, init
S46.091D@Inj musc/tend the rotator cuff of right shoulder, subs
S46.091S@Inj musc/tend the rotator cuff of right shoulder, sequela
S46.092A@Inj musc/tend the rotator cuff of left shoulder, init
S46.092D@Inj musc/tend the rotator cuff of left shoulder, subs
S46.092S@Inj musc/tend the rotator cuff of left shoulder, sequela
S46.099A@Inj musc/tend the rotator cuff of unsp shoulder, init
S46.099D@Inj musc/tend the rotator cuff of unsp shoulder, subs
S46.099S@Inj musc/tend the rotator cuff of unsp shoulder, sequela
S46.101A@Unsp injury of musc/fasc/tend long hd bicep, right arm, init
