S90.00XA@Contusion of unspecified ankle, initial encounter
S90.00XD@Contusion of unspecified ankle, subsequent encounter
S90.00XS@Contusion of unspecified ankle, sequela
S90.01XA@Contusion of right ankle, initial encounter
S90.01XD@Contusion of right ankle, subsequent encounter
S90.01XS@Contusion of right ankle, sequela
S90.02XA@Contusion of left ankle, initial encounter
S90.02XD@Contusion of left ankle, subsequent encounter
S90.02XS@Contusion of left ankle, sequela
S90.111A@Contusion of right great toe w/o damage to nail, init encntr
S90.111D@Contusion of right great toe w/o damage to nail, subs encntr
S90.111S@Contusion of right great toe without damage to nail, sequela
S90.112A@Contusion of left great toe w/o damage to nail, init encntr
S90.112D@Contusion of left great toe w/o damage to nail, subs encntr
S90.112S@Contusion of left great toe without damage to nail, sequela
S90.119A@Contusion of unsp great toe w/o damage to nail, init encntr
S90.119D@Contusion of unsp great toe w/o damage to nail, subs encntr
S90.119S@Contusion of unsp great toe without damage to nail, sequela
S90.121A@Contusion of right lesser toe(s) w/o damage to nail, init
S90.121D@Contusion of right lesser toe(s) w/o damage to nail, subs
S90.121S@Contusion of right lesser toe(s) w/o damage to nail, sequela
S90.122A@Contusion of left lesser toe(s) w/o damage to nail, init
S90.122D@Contusion of left lesser toe(s) w/o damage to nail, subs
S90.122S@Contusion of left lesser toe(s) w/o damage to nail, sequela
S90.129A@Contusion of unsp lesser toe(s) w/o damage to nail, init
S90.129D@Contusion of unsp lesser toe(s) w/o damage to nail, subs
S90.129S@Contusion of unsp lesser toe(s) w/o damage to nail, sequela
S90.211A@Contusion of right great toe w damage to nail, init encntr
S90.211D@Contusion of right great toe w damage to nail, subs encntr
S90.211S@Contusion of right great toe with damage to nail, sequela
S90.212A@Contusion of left great toe with damage to nail, init encntr
S90.212D@Contusion of left great toe with damage to nail, subs encntr
S90.212S@Contusion of left great toe with damage to nail, sequela
S90.219A@Contusion of unsp great toe with damage to nail, init encntr
S90.219D@Contusion of unsp great toe with damage to nail, subs encntr
S90.219S@Contusion of unsp great toe with damage to nail, sequela
S90.221A@Contusion of right lesser toe(s) w damage to nail, init
S90.221D@Contusion of right lesser toe(s) w damage to nail, subs
S90.221S@Contusion of right lesser toe(s) w damage to nail, sequela
S90.222A@Contusion of left lesser toe(s) w damage to nail, init
S90.222D@Contusion of left lesser toe(s) w damage to nail, subs
S90.222S@Contusion of left lesser toe(s) with damage to nail, sequela
S90.229A@Contusion of unsp lesser toe(s) w damage to nail, init
S90.229D@Contusion of unsp lesser toe(s) w damage to nail, subs
S90.229S@Contusion of unsp lesser toe(s) with damage to nail, sequela
S90.30XA@Contusion of unspecified foot, initial encounter
S90.30XD@Contusion of unspecified foot, subsequent encounter
S90.30XS@Contusion of unspecified foot, sequela
S90.31XA@Contusion of right foot, initial encounter
S90.31XD@Contusion of right foot, subsequent encounter
S90.31XS@Contusion of right foot, sequela
S90.32XA@Contusion of left foot, initial encounter
S90.32XD@Contusion of left foot, subsequent encounter
S90.32XS@Contusion of left foot, sequela
S91.136D@Pnctr w/o fb of unsp lesser toe(s) w/o damage to nail, subs
S91.136S@Pnctr w/o fb of unsp lesser toe(s) w/o damage to nail, sqla
S91.139A@Pnctr w/o fb of unsp toe(s) w/o damage to nail, init
S91.139D@Pnctr w/o fb of unsp toe(s) w/o damage to nail, subs
S91.139S@Pnctr w/o fb of unsp toe(s) w/o damage to nail, sequela
S91.141A@Pnctr w fb of right great toe w/o damage to nail, init
S91.141D@Pnctr w fb of right great toe w/o damage to nail, subs
S91.141S@Pnctr w fb of right great toe w/o damage to nail, sequela
S91.142A@Pnctr w fb of left great toe w/o damage to nail, init
S91.142D@Pnctr w fb of left great toe w/o damage to nail, subs
S91.142S@Pnctr w fb of left great toe w/o damage to nail, sequela
S91.143A@Pnctr w fb of unsp great toe w/o damage to nail, init
S91.143D@Pnctr w fb of unsp great toe w/o damage to nail, subs
S91.143S@Pnctr w fb of unsp great toe w/o damage to nail, sequela
S91.144A@Pnctr w fb of right lesser toe(s) w/o damage to nail, init
S91.144D@Pnctr w fb of right lesser toe(s) w/o damage to nail, subs
S91.144S@Pnctr w fb of right lesser toe(s) w/o damage to nail, sqla
S91.145A@Pnctr w fb of left lesser toe(s) w/o damage to nail, init
S91.145D@Pnctr w fb of left lesser toe(s) w/o damage to nail, subs
S91.145S@Pnctr w fb of left lesser toe(s) w/o damage to nail, sequela
S91.146A@Pnctr w fb of unsp lesser toe(s) w/o damage to nail, init
S91.146D@Pnctr w fb of unsp lesser toe(s) w/o damage to nail, subs
S91.146S@Pnctr w fb of unsp lesser toe(s) w/o damage to nail, sequela
S91.149A@Pnctr w foreign body of unsp toe(s) w/o damage to nail, init
S91.149D@Pnctr w foreign body of unsp toe(s) w/o damage to nail, subs
S91.149S@Pnctr w fb of unsp toe(s) w/o damage to nail, sequela
S91.151A@Open bite of right great toe w/o damage to nail, init encntr
S91.151D@Open bite of right great toe w/o damage to nail, subs encntr
S91.151S@Open bite of right great toe without damage to nail, sequela
S91.152A@Open bite of left great toe w/o damage to nail, init encntr
S91.152D@Open bite of left great toe w/o damage to nail, subs encntr
S91.152S@Open bite of left great toe without damage to nail, sequela
S91.153A@Open bite of unsp great toe w/o damage to nail, init encntr
S91.153D@Open bite of unsp great toe w/o damage to nail, subs encntr
S91.153S@Open bite of unsp great toe without damage to nail, sequela
S91.154A@Open bite of right lesser toe(s) w/o damage to nail, init
S91.154D@Open bite of right lesser toe(s) w/o damage to nail, subs
S91.154S@Open bite of right lesser toe(s) w/o damage to nail, sequela
S91.155A@Open bite of left lesser toe(s) w/o damage to nail, init
S91.155D@Open bite of left lesser toe(s) w/o damage to nail, subs
S91.155S@Open bite of left lesser toe(s) w/o damage to nail, sequela
S91.156A@Open bite of unsp lesser toe(s) w/o damage to nail, init
S91.156D@Open bite of unsp lesser toe(s) w/o damage to nail, subs
S91.156S@Open bite of unsp lesser toe(s) w/o damage to nail, sequela
S91.159A@Open bite of unsp toe(s) without damage to nail, init encntr
S91.159D@Open bite of unsp toe(s) without damage to nail, subs encntr
S91.159S@Open bite of unsp toe(s) without damage to nail, sequela
S91.201A@Unsp open wound of right great toe w damage to nail, init
S91.201D@Unsp open wound of right great toe w damage to nail, subs
S91.201S@Unsp open wound of right great toe w damage to nail, sequela
S91.202A@Unsp open wound of left great toe w damage to nail, init
S91.202D@Unsp open wound of left great toe w damage to nail, subs
S91.202S@Unsp open wound of left great toe w damage to nail, sequela
S91.203A@Unsp open wound of unsp great toe w damage to nail, init
S91.203D@Unsp open wound of unsp great toe w damage to nail, subs
S91.203S@Unsp open wound of unsp great toe w damage to nail, sequela
S91.204A@Unsp opn wnd right lesser toe(s) w damage to nail, init
S91.204D@Unsp opn wnd right lesser toe(s) w damage to nail, subs
S91.204S@Unsp opn wnd right lesser toe(s) w damage to nail, sequela
S91.205A@Unsp open wound of left lesser toe(s) w damage to nail, init
S91.205D@Unsp open wound of left lesser toe(s) w damage to nail, subs
S91.205S@Unsp opn wnd left lesser toe(s) w damage to nail, sequela
S91.206A@Unsp open wound of unsp lesser toe(s) w damage to nail, init
S91.206D@Unsp open wound of unsp lesser toe(s) w damage to nail, subs
S91.206S@Unsp opn wnd unsp lesser toe(s) w damage to nail, sequela
S91.209A@Unsp open wound of unsp toe(s) w damage to nail, init encntr
S91.209D@Unsp open wound of unsp toe(s) w damage to nail, subs encntr
S91.209S@Unsp open wound of unsp toe(s) with damage to nail, sequela
S91.211A@Laceration w/o fb of right great toe w damage to nail, init
S91.211D@Laceration w/o fb of right great toe w damage to nail, subs
S91.211S@Lac w/o fb of right great toe w damage to nail, sequela
S91.212A@Laceration w/o fb of left great toe w damage to nail, init
S91.212D@Laceration w/o fb of left great toe w damage to nail, subs
S91.212S@Lac w/o fb of left great toe w damage to nail, sequela
S91.213A@Laceration w/o fb of unsp great toe w damage to nail, init
S91.213D@Laceration w/o fb of unsp great toe w damage to nail, subs
S91.213S@Lac w/o fb of unsp great toe w damage to nail, sequela
S91.214A@Lac w/o fb of right lesser toe(s) w damage to nail, init
S91.214D@Lac w/o fb of right lesser toe(s) w damage to nail, subs
S91.214S@Lac w/o fb of right lesser toe(s) w damage to nail, sequela
S91.215A@Lac w/o fb of left lesser toe(s) w damage to nail, init
S91.215D@Lac w/o fb of left lesser toe(s) w damage to nail, subs
S91.215S@Lac w/o fb of left lesser toe(s) w damage to nail, sequela
S91.216A@Lac w/o fb of unsp lesser toe(s) w damage to nail, init
S91.216D@Lac w/o fb of unsp lesser toe(s) w damage to nail, subs
S91.216S@Lac w/o fb of unsp lesser toe(s) w damage to nail, sequela
S91.219A@Laceration w/o fb of unsp toe(s) w damage to nail, init
S91.219D@Laceration w/o fb of unsp toe(s) w damage to nail, subs
S91.219S@Laceration w/o fb of unsp toe(s) w damage to nail, sequela
S91.221A@Laceration w fb of right great toe w damage to nail, init
S91.221D@Laceration w fb of right great toe w damage to nail, subs
S91.221S@Laceration w fb of right great toe w damage to nail, sequela
S91.222A@Laceration w fb of left great toe w damage to nail, init
S91.222D@Laceration w fb of left great toe w damage to nail, subs
S91.222S@Laceration w fb of left great toe w damage to nail, sequela
S91.223A@Laceration w fb of unsp great toe w damage to nail, init
S91.223D@Laceration w fb of unsp great toe w damage to nail, subs
S91.223S@Laceration w fb of unsp great toe w damage to nail, sequela
S91.224A@Lac w fb of right lesser toe(s) w damage to nail, init
S91.224D@Lac w fb of right lesser toe(s) w damage to nail, subs
S91.224S@Lac w fb of right lesser toe(s) w damage to nail, sequela
S91.225A@Laceration w fb of left lesser toe(s) w damage to nail, init
S91.225D@Laceration w fb of left lesser toe(s) w damage to nail, subs
S91.225S@Lac w fb of left lesser toe(s) w damage to nail, sequela
S91.226A@Laceration w fb of unsp lesser toe(s) w damage to nail, init
S91.226D@Laceration w fb of unsp lesser toe(s) w damage to nail, subs
S91.226S@Lac w fb of unsp lesser toe(s) w damage to nail, sequela
S91.229A@Laceration w fb of unsp toe(s) w damage to nail, init
S91.229D@Laceration w fb of unsp toe(s) w damage to nail, subs
S91.229S@Laceration w fb of unsp toe(s) w damage to nail, sequela
S91.231A@Pnctr w/o fb of right great toe w damage to nail, init
S91.231D@Pnctr w/o fb of right great toe w damage to nail, subs
S91.231S@Pnctr w/o fb of right great toe w damage to nail, sequela
S91.232A@Pnctr w/o fb of left great toe w damage to nail, init
S91.232D@Pnctr w/o fb of left great toe w damage to nail, subs
S91.232S@Pnctr w/o fb of left great toe w damage to nail, sequela
S91.233A@Pnctr w/o fb of unsp great toe w damage to nail, init
S91.233D@Pnctr w/o fb of unsp great toe w damage to nail, subs
S91.233S@Pnctr w/o fb of unsp great toe w damage to nail, sequela
S91.234A@Pnctr w/o fb of right lesser toe(s) w damage to nail, init
S91.234D@Pnctr w/o fb of right lesser toe(s) w damage to nail, subs
S91.234S@Pnctr w/o fb of right lesser toe(s) w damage to nail, sqla
S91.235A@Pnctr w/o fb of left lesser toe(s) w damage to nail, init
S91.235D@Pnctr w/o fb of left lesser toe(s) w damage to nail, subs
S91.235S@Pnctr w/o fb of left lesser toe(s) w damage to nail, sequela
S91.236A@Pnctr w/o fb of unsp lesser toe(s) w damage to nail, init
S91.236D@Pnctr w/o fb of unsp lesser toe(s) w damage to nail, subs
S91.236S@Pnctr w/o fb of unsp lesser toe(s) w damage to nail, sequela
S91.239A@Pnctr w/o foreign body of unsp toe(s) w damage to nail, init
S91.239D@Pnctr w/o foreign body of unsp toe(s) w damage to nail, subs
S91.239S@Pnctr w/o fb of unsp toe(s) w damage to nail, sequela
S91.241A@Pnctr w fb of right great toe w damage to nail, init
S91.241D@Pnctr w fb of right great toe w damage to nail, subs
S91.241S@Pnctr w fb of right great toe w damage to nail, sequela
S91.242A@Pnctr w fb of left great toe w damage to nail, init
S91.242D@Pnctr w fb of left great toe w damage to nail, subs
S91.242S@Pnctr w fb of left great toe w damage to nail, sequela
S91.243A@Pnctr w fb of unsp great toe w damage to nail, init
S91.243D@Pnctr w fb of unsp great toe w damage to nail, subs
S91.243S@Pnctr w fb of unsp great toe w damage to nail, sequela
S91.244A@Pnctr w fb of right lesser toe(s) w damage to nail, init
S91.244D@Pnctr w fb of right lesser toe(s) w damage to nail, subs
S91.244S@Pnctr w fb of right lesser toe(s) w damage to nail, sequela
S91.245A@Pnctr w fb of left lesser toe(s) w damage to nail, init
S91.245D@Pnctr w fb of left lesser toe(s) w damage to nail, subs
S91.245S@Pnctr w fb of left lesser toe(s) w damage to nail, sequela
S91.246A@Pnctr w fb of unsp lesser toe(s) w damage to nail, init
S91.246D@Pnctr w fb of unsp lesser toe(s) w damage to nail, subs
S91.246S@Pnctr w fb of unsp lesser toe(s) w damage to nail, sequela
S91.249A@Pnctr w foreign body of unsp toe(s) w damage to nail, init
S91.249D@Pnctr w foreign body of unsp toe(s) w damage to nail, subs
S91.249S@Pnctr w fb of unsp toe(s) w damage to nail, sequela
S91.251A@Open bite of right great toe w damage to nail, init encntr
S91.251D@Open bite of right great toe w damage to nail, subs encntr
S91.251S@Open bite of right great toe with damage to nail, sequela
S91.252A@Open bite of left great toe with damage to nail, init encntr
S91.252D@Open bite of left great toe with damage to nail, subs encntr
S91.252S@Open bite of left great toe with damage to nail, sequela
S91.253A@Open bite of unsp great toe with damage to nail, init encntr
S91.253D@Open bite of unsp great toe with damage to nail, subs encntr
S91.253S@Open bite of unsp great toe with damage to nail, sequela
S91.254A@Open bite of right lesser toe(s) w damage to nail, init
S91.254D@Open bite of right lesser toe(s) w damage to nail, subs
S91.254S@Open bite of right lesser toe(s) w damage to nail, sequela
S91.255A@Open bite of left lesser toe(s) w damage to nail, init
S91.255D@Open bite of left lesser toe(s) w damage to nail, subs
S91.255S@Open bite of left lesser toe(s) with damage to nail, sequela
S91.256A@Open bite of unsp lesser toe(s) w damage to nail, init
S91.256D@Open bite of unsp lesser toe(s) w damage to nail, subs
S91.256S@Open bite of unsp lesser toe(s) with damage to nail, sequela
S91.259A@Open bite of unsp toe(s) with damage to nail, init encntr
S91.259D@Open bite of unsp toe(s) with damage to nail, subs encntr
S91.259S@Open bite of unspecified toe(s) with damage to nail, sequela
S91.301A@Unspecified open wound, right foot, initial encounter
S91.301D@Unspecified open wound, right foot, subsequent encounter
S91.301S@Unspecified open wound, right foot, sequela
S91.302A@Unspecified open wound, left foot, initial encounter
S91.302D@Unspecified open wound, left foot, subsequent encounter
S91.302S@Unspecified open wound, left foot, sequela
S91.309A@Unspecified open wound, unspecified foot, initial encounter
S91.309D@Unspecified open wound, unspecified foot, subs encntr
S91.309S@Unspecified open wound, unspecified foot, sequela
S91.311A@Laceration without foreign body, right foot, init encntr
S91.311D@Laceration without foreign body, right foot, subs encntr
S91.311S@Laceration without foreign body, right foot, sequela
S91.312A@Laceration without foreign body, left foot, init encntr
S91.312D@Laceration without foreign body, left foot, subs encntr
S91.312S@Laceration without foreign body, left foot, sequela
S91.319A@Laceration without foreign body, unsp foot, init encntr
S91.319D@Laceration without foreign body, unsp foot, subs encntr
S91.319S@Laceration without foreign body, unspecified foot, sequela
S91.321A@Laceration with foreign body, right foot, initial encounter
S91.321D@Laceration with foreign body, right foot, subs encntr
S91.321S@Laceration with foreign body, right foot, sequela
S91.322A@Laceration with foreign body, left foot, initial encounter
S91.322D@Laceration with foreign body, left foot, subs encntr
S91.322S@Laceration with foreign body, left foot, sequela
S91.329A@Laceration with foreign body, unspecified foot, init encntr
S91.329D@Laceration with foreign body, unspecified foot, subs encntr
S91.329S@Laceration with foreign body, unspecified foot, sequela
S91.331A@Puncture wound without foreign body, right foot, init encntr
S91.331D@Puncture wound without foreign body, right foot, subs encntr
S91.331S@Puncture wound without foreign body, right foot, sequela
S91.332A@Puncture wound without foreign body, left foot, init encntr
S91.332D@Puncture wound without foreign body, left foot, subs encntr
S91.332S@Puncture wound without foreign body, left foot, sequela
S91.339A@Puncture wound without foreign body, unsp foot, init encntr
S91.339D@Puncture wound without foreign body, unsp foot, subs encntr
S91.339S@Puncture wound without foreign body, unsp foot, sequela
S91.341A@Puncture wound with foreign body, right foot, init encntr
S91.341D@Puncture wound with foreign body, right foot, subs encntr
S91.341S@Puncture wound with foreign body, right foot, sequela
S91.342A@Puncture wound with foreign body, left foot, init encntr
S91.342D@Puncture wound with foreign body, left foot, subs encntr
S91.342S@Puncture wound with foreign body, left foot, sequela
S91.349A@Puncture wound with foreign body, unsp foot, init encntr
S91.349D@Puncture wound with foreign body, unsp foot, subs encntr
S91.349S@Puncture wound with foreign body, unspecified foot, sequela
S91.351A@Open bite, right foot, initial encounter
S91.351D@Open bite, right foot, subsequent encounter
S91.351S@Open bite, right foot, sequela
S91.352A@Open bite, left foot, initial encounter
S91.352D@Open bite, left foot, subsequent encounter
S91.352S@Open bite, left foot, sequela
S91.359A@Open bite, unspecified foot, initial encounter
S91.359D@Open bite, unspecified foot, subsequent encounter
S91.359S@Open bite, unspecified foot, sequela
S92.001A@Unsp fracture of right calcaneus, init for clos fx
S92.001B@Unsp fracture of right calcaneus, init for opn fx
S92.001D@Unsp fracture of right calcaneus, subs for fx w routn heal
S92.001G@Unsp fracture of right calcaneus, subs for fx w delay heal
S92.001K@Unsp fracture of right calcaneus, subs for fx w nonunion
S92.001P@Unsp fracture of right calcaneus, subs for fx w malunion
S92.001S@Unspecified fracture of right calcaneus, sequela
S92.002A@Unsp fracture of left calcaneus, init for clos fx
S92.002B@Unsp fracture of left calcaneus, init for opn fx
S92.002D@Unsp fracture of left calcaneus, subs for fx w routn heal
S92.002G@Unsp fracture of left calcaneus, subs for fx w delay heal
S92.002K@Unsp fracture of left calcaneus, subs for fx w nonunion
S92.002P@Unsp fracture of left calcaneus, subs for fx w malunion
S92.002S@Unspecified fracture of left calcaneus, sequela
S92.009A@Unsp fracture of unsp calcaneus, init for clos fx
S92.009B@Unsp fracture of unsp calcaneus, init for opn fx
S92.009D@Unsp fracture of unsp calcaneus, subs for fx w routn heal
S92.009G@Unsp fracture of unsp calcaneus, subs for fx w delay heal
S92.009K@Unsp fracture of unsp calcaneus, subs for fx w nonunion
S92.009P@Unsp fracture of unsp calcaneus, subs for fx w malunion
S92.009S@Unspecified fracture of unspecified calcaneus, sequela
S92.011A@Disp fx of body of right calcaneus, init for clos fx
S92.011B@Disp fx of body of right calcaneus, init for opn fx
S92.011D@Disp fx of body of right calcaneus, subs for fx w routn heal
S92.011G@Disp fx of body of right calcaneus, subs for fx w delay heal
S92.011K@Disp fx of body of right calcaneus, subs for fx w nonunion
S92.011P@Disp fx of body of right calcaneus, subs for fx w malunion
S92.011S@Displaced fracture of body of right calcaneus, sequela
S92.012A@Disp fx of body of left calcaneus, init for clos fx
S92.012B@Disp fx of body of left calcaneus, init for opn fx
S92.012D@Disp fx of body of left calcaneus, subs for fx w routn heal
S92.012G@Disp fx of body of left calcaneus, subs for fx w delay heal
S92.012K@Disp fx of body of left calcaneus, subs for fx w nonunion
S92.012P@Disp fx of body of left calcaneus, subs for fx w malunion
S92.012S@Displaced fracture of body of left calcaneus, sequela
S92.013A@Disp fx of body of unsp calcaneus, init for clos fx
S92.013B@Disp fx of body of unsp calcaneus, init for opn fx
S92.013D@Disp fx of body of unsp calcaneus, subs for fx w routn heal
S92.013G@Disp fx of body of unsp calcaneus, subs for fx w delay heal
S92.013K@Disp fx of body of unsp calcaneus, subs for fx w nonunion
S92.013P@Disp fx of body of unsp calcaneus, subs for fx w malunion
S92.013S@Displaced fracture of body of unspecified calcaneus, sequela
S92.014A@Nondisp fx of body of right calcaneus, init for clos fx
S92.014B@Nondisp fx of body of right calcaneus, init for opn fx
S92.014D@Nondisp fx of body of r calcaneus, subs for fx w routn heal
S92.014G@Nondisp fx of body of r calcaneus, subs for fx w delay heal
S92.014K@Nondisp fx of body of r calcaneus, subs for fx w nonunion
S92.014P@Nondisp fx of body of r calcaneus, subs for fx w malunion
S92.014S@Nondisplaced fracture of body of right calcaneus, sequela
S92.015A@Nondisp fx of body of left calcaneus, init for clos fx
S92.015B@Nondisp fx of body of left calcaneus, init for opn fx
S92.015D@Nondisp fx of body of l calcaneus, subs for fx w routn heal
S92.015G@Nondisp fx of body of l calcaneus, subs for fx w delay heal
S92.015K@Nondisp fx of body of left calcaneus, subs for fx w nonunion
S92.015P@Nondisp fx of body of left calcaneus, subs for fx w malunion
S92.015S@Nondisplaced fracture of body of left calcaneus, sequela
S92.016A@Nondisp fx of body of unsp calcaneus, init for clos fx
S92.016B@Nondisp fx of body of unsp calcaneus, init for opn fx
S92.016D@Nondisp fx of body of unsp calcaneus, 7thD
S92.016G@Nondisp fx of body of unsp calcaneus, 7thG
S92.016K@Nondisp fx of body of unsp calcaneus, subs for fx w nonunion
S92.016P@Nondisp fx of body of unsp calcaneus, subs for fx w malunion
S92.016S@Nondisp fx of body of unspecified calcaneus, sequela
S92.021A@Disp fx of anterior process of right calcaneus, init
S92.021B@Disp fx of anterior process of r calcaneus, init for opn fx
S92.021D@Disp fx of ant pro of r calcaneus, subs for fx w routn heal
S92.021G@Disp fx of ant pro of r calcaneus, subs for fx w delay heal
S92.021K@Disp fx of ant pro of r calcaneus, subs for fx w nonunion
S92.021P@Disp fx of ant pro of r calcaneus, subs for fx w malunion
S92.021S@Disp fx of anterior process of right calcaneus, sequela
S92.022A@Disp fx of anterior process of left calcaneus, init
S92.022B@Disp fx of anterior process of l calcaneus, init for opn fx
S92.022D@Disp fx of ant pro of l calcaneus, subs for fx w routn heal
S92.022G@Disp fx of ant pro of l calcaneus, subs for fx w delay heal
S92.022K@Disp fx of ant pro of l calcaneus, subs for fx w nonunion
S92.022P@Disp fx of ant pro of l calcaneus, subs for fx w malunion
S92.022S@Disp fx of anterior process of left calcaneus, sequela
S92.023A@Disp fx of anterior process of unsp calcaneus, init
S92.023B@Disp fx of ant process of unsp calcaneus, init for opn fx
S92.023D@Disp fx of ant pro of unsp calcaneus, 7thD
S92.023G@Disp fx of ant pro of unsp calcaneus, 7thG
S92.023K@Disp fx of ant pro of unsp calcaneus, subs for fx w nonunion
S92.023P@Disp fx of ant pro of unsp calcaneus, subs for fx w malunion
S92.023S@Disp fx of anterior process of unsp calcaneus, sequela
S92.024A@Nondisp fx of anterior process of right calcaneus, init
S92.024B@Nondisp fx of ant process of r calcaneus, init for opn fx
