S00.00XA@Unspecified superficial injury of scalp, initial encounter
S01.551S@Open bite of lip, sequela
S01.552A@Open bite of oral cavity, initial encounter
S01.552D@Open bite of oral cavity, subsequent encounter
S01.552S@Open bite of oral cavity, sequela
S01.80XA@Unspecified open wound of other part of head, init encntr
S01.80XD@Unspecified open wound of other part of head, subs encntr
S01.80XS@Unspecified open wound of other part of head, sequela
S01.81XA@Laceration w/o foreign body of oth part of head, init encntr
S01.81XD@Laceration w/o foreign body of oth part of head, subs encntr
S01.81XS@Laceration w/o foreign body of other part of head, sequela
S01.82XA@Laceration w foreign body of oth part of head, init encntr
S01.82XD@Laceration w foreign body of oth part of head, subs encntr
S01.82XS@Laceration with foreign body of other part of head, sequela
S01.83XA@Puncture wound w/o foreign body oth prt head, init encntr
S01.83XD@Puncture wound w/o foreign body oth prt head, subs encntr
S01.83XS@Puncture wound w/o foreign body of oth part of head, sequela
S01.84XA@Puncture wound w foreign body oth prt head, init encntr
S01.84XD@Puncture wound w foreign body oth prt head, subs encntr
S01.84XS@Puncture wound w foreign body of oth part of head, sequela
S01.85XA@Open bite of other part of head, initial encounter
S01.85XD@Open bite of other part of head, subsequent encounter
S01.85XS@Open bite of other part of head, sequela
S01.90XA@Unsp open wound of unspecified part of head, init encntr
S01.90XD@Unsp open wound of unspecified part of head, subs encntr
S01.90XS@Unspecified open wound of unspecified part of head, sequela
S01.91XA@Laceration w/o foreign body of unsp part of head, init
S01.91XD@Laceration w/o foreign body of unsp part of head, subs
S01.91XS@Laceration w/o foreign body of unsp part of head, sequela
S01.92XA@Laceration w foreign body of unsp part of head, init encntr
S01.92XD@Laceration w foreign body of unsp part of head, subs encntr
S01.92XS@Laceration with foreign body of unsp part of head, sequela
S01.93XA@Puncture wound w/o foreign body of unsp part of head, init
S01.93XD@Puncture wound w/o foreign body of unsp part of head, subs
S01.93XS@Pnctr w/o foreign body of unsp part of head, sequela
S01.94XA@Puncture wound w foreign body of unsp part of head, init
S01.94XD@Puncture wound w foreign body of unsp part of head, subs
S01.94XS@Puncture wound w foreign body of unsp part of head, sequela
S01.95XA@Open bite of unspecified part of head, initial encounter
S01.95XD@Open bite of unspecified part of head, subsequent encounter
S01.95XS@Open bite of unspecified part of head, sequela
#
S02.0XXA@Fracture of vault of skull, init encntr for closed fracture
S02.0XXB@Fracture of vault of skull, init encntr for open fracture
S02.0XXD@Fracture of vault of skull, subs for fx w routn heal
S02.0XXG@Fracture of vault of skull, subs for fx w delay heal
S02.0XXK@Fracture of vault of skull, subs for fx w nonunion
S02.0XXS@Fracture of vault of skull, sequela
S02.10XA@Unsp fracture of base of skull, init for clos fx
S02.10XB@Unsp fracture of base of skull, init for opn fx
S02.10XD@Unsp fracture of base of skull, subs for fx w routn heal
S02.10XG@Unsp fracture of base of skull, subs for fx w delay heal
S02.10XK@Unsp fracture of base of skull, subs for fx w nonunion
S02.10XS@Unspecified fracture of base of skull, sequela
S02.110A@Type I occipital condyle fracture, init for clos fx
S02.110B@Type I occipital condyle fracture, init for opn fx
S02.110D@Type I occipital condyle fracture, subs for fx w routn heal
S02.110G@Type I occipital condyle fracture, subs for fx w delay heal
S02.110K@Type I occipital condyle fracture, subs for fx w nonunion
S02.110S@Type I occipital condyle fracture, sequela
S02.111A@Type II occipital condyle fracture, init for clos fx
S02.111B@Type II occipital condyle fracture, init for opn fx
S02.111D@Type II occipital condyle fracture, subs for fx w routn heal
S02.111G@Type II occipital condyle fracture, subs for fx w delay heal
S02.111K@Type II occipital condyle fracture, subs for fx w nonunion
S02.111S@Type II occipital condyle fracture, sequela
S02.112A@Type III occipital condyle fracture, init for clos fx
S02.112B@Type III occipital condyle fracture, init for opn fx
S02.112D@Type III occipital condyle fx, subs for fx w routn heal
S02.112G@Type III occipital condyle fx, subs for fx w delay heal
S02.112K@Type III occipital condyle fracture, subs for fx w nonunion
S02.112S@Type III occipital condyle fracture, sequela
S02.113A@Unsp occipital condyle fracture, init for clos fx
S02.113B@Unsp occipital condyle fracture, init for opn fx
S02.113D@Unsp occipital condyle fracture, subs for fx w routn heal
S02.113G@Unsp occipital condyle fracture, subs for fx w delay heal
S02.113K@Unsp occipital condyle fracture, subs for fx w nonunion
S02.113S@Unspecified occipital condyle fracture, sequela
S02.118A@Other fracture of occiput, init encntr for closed fracture
S02.118B@Other fracture of occiput, init encntr for open fracture
S02.118D@Oth fracture of occiput, subs for fx w routn heal
S02.118G@Oth fracture of occiput, subs for fx w delay heal
S02.118K@Oth fracture of occiput, subs encntr for fracture w nonunion
S02.118S@Other fracture of occiput, sequela
S02.119A@Unsp fracture of occiput, init encntr for closed fracture
S02.119B@Unsp fracture of occiput, init encntr for open fracture
S02.119D@Unsp fracture of occiput, subs for fx w routn heal
S02.119G@Unsp fracture of occiput, subs for fx w delay heal
S02.119K@Unsp fracture of occiput, subs for fx w nonunion
S02.119S@Unspecified fracture of occiput, sequela
S02.19XA@Oth fracture of base of skull, init for clos fx
S02.19XB@Oth fracture of base of skull, init encntr for open fracture
S02.19XD@Oth fracture of base of skull, subs for fx w routn heal
S02.19XG@Oth fracture of base of skull, subs for fx w delay heal
S02.19XK@Oth fracture of base of skull, subs for fx w nonunion
S02.19XS@Other fracture of base of skull, sequela
S02.2XXA@Fracture of nasal bones, init encntr for closed fracture
S02.2XXB@Fracture of nasal bones, initial encounter for open fracture
S02.2XXD@Fracture of nasal bones, subs for fx w routn heal
S02.2XXG@Fracture of nasal bones, subs for fx w delay heal
S02.2XXK@Fracture of nasal bones, subs encntr for fracture w nonunion
S02.2XXS@Fracture of nasal bones, sequela
S02.3XXA@Fracture of orbital floor, init encntr for closed fracture
S02.3XXB@Fracture of orbital floor, init encntr for open fracture
S02.3XXD@Fracture of orbital floor, subs for fx w routn heal
S02.3XXG@Fracture of orbital floor, subs for fx w delay heal
S02.3XXK@Fracture of orbital floor, subs for fx w nonunion
S02.3XXS@Fracture of orbital floor, sequela
S02.400A@Malar fracture unspecified, init encntr for closed fracture
S02.400B@Malar fracture unspecified, init encntr for open fracture
S02.400D@Malar fracture unsp, subs for fx w routn heal
S02.400G@Malar fracture unsp, subs for fx w delay heal
S02.400K@Malar fracture unsp, subs encntr for fracture with nonunion
S02.400S@Malar fracture unspecified, sequela
S02.401A@Maxillary fracture, unsp, init encntr for closed fracture
S02.401B@Maxillary fracture, unsp, init encntr for open fracture
S02.401D@Maxillary fracture, unsp, subs for fx w routn heal
S02.401G@Maxillary fracture, unsp, subs for fx w delay heal
S02.401K@Maxillary fracture, unsp, subs for fx w nonunion
S02.401S@Maxillary fracture, unspecified, sequela
S02.402A@Zygomatic fracture, unsp, init encntr for closed fracture
S02.402B@Zygomatic fracture, unsp, init encntr for open fracture
S02.402D@Zygomatic fracture, unsp, subs for fx w routn heal
S02.402G@Zygomatic fracture, unsp, subs for fx w delay heal
S02.402K@Zygomatic fracture, unsp, subs for fx w nonunion
S02.402S@Zygomatic fracture, unspecified, sequela
S02.411A@LeFort I fracture, initial encounter for closed fracture
S02.411B@LeFort I fracture, initial encounter for open fracture
S02.411D@LeFort I fracture, subs for fx w routn heal
S02.411G@LeFort I fracture, subs for fx w delay heal
S02.411K@LeFort I fracture, subs encntr for fracture with nonunion
S02.411S@LeFort I fracture, sequela
S02.412A@LeFort II fracture, initial encounter for closed fracture
S02.412B@LeFort II fracture, initial encounter for open fracture
S02.412D@LeFort II fracture, subs for fx w routn heal
S02.412G@LeFort II fracture, subs for fx w delay heal
S02.412K@LeFort II fracture, subs encntr for fracture with nonunion
S02.412S@LeFort II fracture, sequela
S02.413A@LeFort III fracture, initial encounter for closed fracture
S02.413B@LeFort III fracture, initial encounter for open fracture
S02.413D@LeFort III fracture, subs for fx w routn heal
S02.413G@LeFort III fracture, subs for fx w delay heal
S02.413K@LeFort III fracture, subs encntr for fracture with nonunion
S02.413S@LeFort III fracture, sequela
S02.42XA@Fracture of alveolus of maxilla, init for clos fx
S02.42XB@Fracture of alveolus of maxilla, init for opn fx
S02.42XD@Fracture of alveolus of maxilla, subs for fx w routn heal
S02.42XG@Fracture of alveolus of maxilla, subs for fx w delay heal
S02.42XK@Fracture of alveolus of maxilla, subs for fx w nonunion
S02.42XS@Fracture of alveolus of maxilla, sequela
S02.5XXA@Fracture of tooth (traumatic), init for clos fx
S02.5XXB@Fracture of tooth (traumatic), init encntr for open fracture
S02.5XXD@Fracture of tooth (traumatic), subs for fx w routn heal
S02.5XXG@Fracture of tooth (traumatic), subs for fx w delay heal
S02.5XXK@Fracture of tooth (traumatic), subs for fx w nonunion
S02.5XXS@Fracture of tooth (traumatic), sequela
S02.600A@Fracture of unsp part of body of mandible, init for clos fx
S02.600B@Fracture of unsp part of body of mandible, init for opn fx
S02.600D@Fx unsp part of body of mandible, subs for fx w routn heal
S02.600G@Fx unsp part of body of mandible, subs for fx w delay heal
S02.600K@Fx unsp part of body of mandible, subs for fx w nonunion
S02.600S@Fracture of unspecified part of body of mandible, sequela
S02.609A@Fracture of mandible, unsp, init encntr for closed fracture
S02.609B@Fracture of mandible, unsp, init encntr for open fracture
S02.609D@Fracture of mandible, unsp, subs for fx w routn heal
S02.609G@Fracture of mandible, unsp, subs for fx w delay heal
S02.609K@Fracture of mandible, unsp, subs for fx w nonunion
S02.609S@Fracture of mandible, unspecified, sequela
S02.61XA@Fracture of condylar process of mandible, init for clos fx
S02.61XB@Fracture of condylar process of mandible, init for opn fx
S02.61XD@Fx condylar process of mandible, subs for fx w routn heal
S02.61XG@Fx condylar process of mandible, subs for fx w delay heal
S02.61XK@Fx condylar process of mandible, subs for fx w nonunion
S02.61XS@Fracture of condylar process of mandible, sequela
S02.62XA@Fracture of subcondylar process of mandible, init
S02.62XB@Fracture of subcondylar process of mandible, init for opn fx
S02.62XD@Fx subcondylar process of mandible, subs for fx w routn heal
S02.62XG@Fx subcondylar process of mandible, subs for fx w delay heal
S02.62XK@Fx subcondylar process of mandible, subs for fx w nonunion
S02.62XS@Fracture of subcondylar process of mandible, sequela
S02.63XA@Fracture of coronoid process of mandible, init for clos fx
S02.63XB@Fracture of coronoid process of mandible, init for opn fx
S02.63XD@Fx coronoid process of mandible, subs for fx w routn heal
S02.63XG@Fx coronoid process of mandible, subs for fx w delay heal
S02.63XK@Fx coronoid process of mandible, subs for fx w nonunion
S02.63XS@Fracture of coronoid process of mandible, sequela
S02.64XA@Fracture of ramus of mandible, init for clos fx
S02.64XB@Fracture of ramus of mandible, init encntr for open fracture
S02.64XD@Fracture of ramus of mandible, subs for fx w routn heal
S02.64XG@Fracture of ramus of mandible, subs for fx w delay heal
S02.64XK@Fracture of ramus of mandible, subs for fx w nonunion
S02.64XS@Fracture of ramus of mandible, sequela
S02.65XA@Fracture of angle of mandible, init for clos fx
S02.65XB@Fracture of angle of mandible, init encntr for open fracture
S02.65XD@Fracture of angle of mandible, subs for fx w routn heal
S02.65XG@Fracture of angle of mandible, subs for fx w delay heal
S02.65XK@Fracture of angle of mandible, subs for fx w nonunion
S02.65XS@Fracture of angle of mandible, sequela
S02.66XA@Fracture of symphysis of mandible, init for clos fx
S02.66XB@Fracture of symphysis of mandible, init for opn fx
S02.66XD@Fracture of symphysis of mandible, subs for fx w routn heal
S02.66XG@Fracture of symphysis of mandible, subs for fx w delay heal
S02.66XK@Fracture of symphysis of mandible, subs for fx w nonunion
S02.66XS@Fracture of symphysis of mandible, sequela
S02.67XA@Fracture of alveolus of mandible, init for clos fx
S02.67XB@Fracture of alveolus of mandible, init for opn fx
S02.67XD@Fracture of alveolus of mandible, subs for fx w routn heal
S02.67XG@Fracture of alveolus of mandible, subs for fx w delay heal
S02.67XK@Fracture of alveolus of mandible, subs for fx w nonunion
