V00.01XA@Ped on foot injured in collision w roller-skater, init
V11.4XXD@Pedl cyc driver injured in clsn w oth pedl cyc in traf, subs
V11.4XXS@Pedl cyc driver inj in clsn w oth pedl cyc in traf, sequela
V11.5XXA@Pedl cyc pasngr injured in clsn w oth pedl cyc in traf, init
V11.5XXD@Pedl cyc pasngr injured in clsn w oth pedl cyc in traf, subs
V11.5XXS@Pedl cyc pasngr inj in clsn w oth pedl cyc in traf, sequela
V11.9XXA@Unsp pedl cyclst inj in clsn w oth pedl cyc in traf, init
V11.9XXD@Unsp pedl cyclst inj in clsn w oth pedl cyc in traf, subs
V11.9XXS@Unsp pedl cyclst inj in clsn w oth pedl cyc in traf, sequela
#
V12.0XXA@Pedl cyc driver injured in clsn w 2/3-whl mv nontraf, init
V12.0XXD@Pedl cyc driver injured in clsn w 2/3-whl mv nontraf, subs
V12.0XXS@Pedl cyc driver inj in clsn w 2/3-whl mv nontraf, sequela
V12.1XXA@Pedl cyc pasngr injured in clsn w 2/3-whl mv nontraf, init
V12.1XXD@Pedl cyc pasngr injured in clsn w 2/3-whl mv nontraf, subs
V12.1XXS@Pedl cyc pasngr inj in clsn w 2/3-whl mv nontraf, sequela
V12.2XXA@Unsp pedl cyclst injured in clsn w 2/3-whl mv nontraf, init
V12.2XXD@Unsp pedl cyclst injured in clsn w 2/3-whl mv nontraf, subs
V12.2XXS@Unsp pedl cyclst inj in clsn w 2/3-whl mv nontraf, sequela
V12.3XXA@Prsn brd/alit pedl cyc injured in clsn w 2/3-whl mv, init
V12.3XXD@Prsn brd/alit pedl cyc injured in clsn w 2/3-whl mv, subs
V12.3XXS@Prsn brd/alit pedl cyc injured in clsn w 2/3-whl mv, sequela
V12.4XXA@Pedl cyc driver injured in clsn w 2/3-whl mv in traf, init
V12.4XXD@Pedl cyc driver injured in clsn w 2/3-whl mv in traf, subs
V12.4XXS@Pedl cyc driver inj in clsn w 2/3-whl mv in traf, sequela
V12.5XXA@Pedl cyc pasngr injured in clsn w 2/3-whl mv in traf, init
V12.5XXD@Pedl cyc pasngr injured in clsn w 2/3-whl mv in traf, subs
V12.5XXS@Pedl cyc pasngr inj in clsn w 2/3-whl mv in traf, sequela
V12.9XXA@Unsp pedl cyclst injured in clsn w 2/3-whl mv in traf, init
V12.9XXD@Unsp pedl cyclst injured in clsn w 2/3-whl mv in traf, subs
V12.9XXS@Unsp pedl cyclst inj in clsn w 2/3-whl mv in traf, sequela
#
V13.0XXA@Pedl cyc driver inj pick-up truck, pk-up/van nontraf, init
V13.0XXD@Pedl cyc driver inj pick-up truck, pk-up/van nontraf, subs
V13.0XXS@Pedl cyc driver inj pk-up truck, pk-up/van nontraf, sequela
V13.1XXA@Pedl cyc pasngr inj pick-up truck, pk-up/van nontraf, init
V13.1XXD@Pedl cyc pasngr inj pick-up truck, pk-up/van nontraf, subs
V13.1XXS@Pedl cyc pasngr inj pk-up truck, pk-up/van nontraf, sequela
V13.2XXA@Unsp pedl cyclst inj pick-up truck, pk-up/van nontraf, init
V13.2XXD@Unsp pedl cyclst inj pick-up truck, pk-up/van nontraf, subs
V13.2XXS@Unsp pedl cyclst inj pk-up truck, pk-up/van nontraf, sequela
V13.3XXA@Prsn brd/alit pedl cyc inj pick-up truck, pk-up/van, init
V13.3XXD@Prsn brd/alit pedl cyc inj pick-up truck, pk-up/van, subs
V13.3XXS@Prsn brd/alit pedl cyc inj pick-up truck, pk-up/van, sequela
V13.4XXA@Pedl cyc driver inj pick-up truck, pk-up/van in traf, init
V13.4XXD@Pedl cyc driver inj pick-up truck, pk-up/van in traf, subs
V13.4XXS@Pedl cyc driver inj pk-up truck, pk-up/van in traf, sequela
V13.5XXA@Pedl cyc pasngr inj pick-up truck, pk-up/van in traf, init
V13.5XXD@Pedl cyc pasngr inj pick-up truck, pk-up/van in traf, subs
V13.5XXS@Pedl cyc pasngr inj pk-up truck, pk-up/van in traf, sequela
V13.9XXA@Unsp pedl cyclst inj pick-up truck, pk-up/van in traf, init
V13.9XXD@Unsp pedl cyclst inj pick-up truck, pk-up/van in traf, subs
V13.9XXS@Unsp pedl cyclst inj pk-up truck, pk-up/van in traf, sequela
#
V14.0XXA@Pedl cyc driver injured in collision w hv veh nontraf, init
V14.0XXD@Pedl cyc driver injured in collision w hv veh nontraf, subs
V14.0XXS@Pedl cyc driver injured in clsn w hv veh nontraf, sequela
V14.1XXA@Pedl cyc passenger injured in clsn w hv veh nontraf, init
V14.1XXD@Pedl cyc passenger injured in clsn w hv veh nontraf, subs
V14.1XXS@Pedl cyc passenger injured in clsn w hv veh nontraf, sequela
V14.2XXA@Unsp pedl cyclst injured in collision w hv veh nontraf, init
V14.2XXD@Unsp pedl cyclst injured in collision w hv veh nontraf, subs
V14.2XXS@Unsp pedl cyclst injured in clsn w hv veh nontraf, sequela
V14.3XXA@Prsn brd/alit pedl cyc injured in collision w hv veh, init
V14.3XXD@Prsn brd/alit pedl cyc injured in collision w hv veh, subs
V14.3XXS@Prsn brd/alit pedl cyc injured in clsn w hv veh, sequela
V14.4XXA@Pedl cyc driver injured in collision w hv veh in traf, init
V14.4XXD@Pedl cyc driver injured in collision w hv veh in traf, subs
V14.4XXS@Pedl cyc driver injured in clsn w hv veh in traf, sequela
V14.5XXA@Pedl cyc passenger injured in clsn w hv veh in traf, init
V14.5XXD@Pedl cyc passenger injured in clsn w hv veh in traf, subs
V14.5XXS@Pedl cyc passenger injured in clsn w hv veh in traf, sequela
V14.9XXA@Unsp pedl cyclst injured in collision w hv veh in traf, init
V14.9XXD@Unsp pedl cyclst injured in collision w hv veh in traf, subs
V14.9XXS@Unsp pedl cyclst injured in clsn w hv veh in traf, sequela
#
V15.0XXA@Pedl cyc driver injured in clsn w rail trn/veh nontraf, init
V15.0XXD@Pedl cyc driver injured in clsn w rail trn/veh nontraf, subs
V15.0XXS@Pedl cyc driver inj in clsn w rail trn/veh nontraf, sequela
V15.1XXA@Pedl cyc pasngr injured in clsn w rail trn/veh nontraf, init
V15.1XXD@Pedl cyc pasngr injured in clsn w rail trn/veh nontraf, subs
V15.1XXS@Pedl cyc pasngr inj in clsn w rail trn/veh nontraf, sequela
V15.2XXA@Unsp pedl cyclst inj in clsn w rail trn/veh nontraf, init
V15.2XXD@Unsp pedl cyclst inj in clsn w rail trn/veh nontraf, subs
V15.2XXS@Unsp pedl cyclst inj in clsn w rail trn/veh nontraf, sequela
V15.3XXA@Prsn brd/alit pedl cyc injured in clsn w rail trn/veh, init
V15.3XXD@Prsn brd/alit pedl cyc injured in clsn w rail trn/veh, subs
V15.3XXS@Prsn brd/alit pedl cyc inj in clsn w rail trn/veh, sequela
V15.4XXA@Pedl cyc driver injured in clsn w rail trn/veh in traf, init
V15.4XXD@Pedl cyc driver injured in clsn w rail trn/veh in traf, subs
V15.4XXS@Pedl cyc driver inj in clsn w rail trn/veh in traf, sequela
V15.5XXA@Pedl cyc pasngr injured in clsn w rail trn/veh in traf, init
V15.5XXD@Pedl cyc pasngr injured in clsn w rail trn/veh in traf, subs
V15.5XXS@Pedl cyc pasngr inj in clsn w rail trn/veh in traf, sequela
V15.9XXA@Unsp pedl cyclst inj in clsn w rail trn/veh in traf, init
V15.9XXD@Unsp pedl cyclst inj in clsn w rail trn/veh in traf, subs
V15.9XXS@Unsp pedl cyclst inj in clsn w rail trn/veh in traf, sequela
#
V16.0XXA@Pedl cyc driver inj in clsn w nonmtr vehicle nontraf, init
V16.0XXD@Pedl cyc driver inj in clsn w nonmtr vehicle nontraf, subs
V16.0XXS@Pedl cyc driver inj in clsn w nonmtr vehicle nontraf, sqla
V16.1XXA@Pedl cyc pasngr inj in clsn w nonmtr vehicle nontraf, init
V16.1XXD@Pedl cyc pasngr inj in clsn w nonmtr vehicle nontraf, subs
V16.1XXS@Pedl cyc pasngr inj in clsn w nonmtr vehicle nontraf, sqla
V16.2XXA@Unsp pedl cyclst inj in clsn w nonmtr vehicle nontraf, init
V16.2XXD@Unsp pedl cyclst inj in clsn w nonmtr vehicle nontraf, subs
V16.2XXS@Unsp pedl cyclst inj in clsn w nonmtr vehicle nontraf, sqla
V16.3XXA@Prsn brd/alit pedl cyc inj in clsn w nonmtr veh nontraf,init
V16.3XXD@Prsn brd/alit pedl cyc inj in clsn w nonmtr veh nontraf,subs
V16.3XXS@Prsn brd/alit pedl cyc inj in clsn w nonmtr veh nontraf,sqla
V16.4XXA@Pedl cyc driver inj in clsn w nonmtr vehicle in traf, init
V16.4XXD@Pedl cyc driver inj in clsn w nonmtr vehicle in traf, subs
V16.4XXS@Pedl cyc driver inj in clsn w nonmtr vehicle in traf, sqla
V16.5XXA@Pedl cyc pasngr inj in clsn w nonmtr vehicle in traf, init
V16.5XXD@Pedl cyc pasngr inj in clsn w nonmtr vehicle in traf, subs
V16.5XXS@Pedl cyc pasngr inj in clsn w nonmtr vehicle in traf, sqla
V16.9XXA@Unsp pedl cyclst inj in clsn w nonmtr vehicle in traf, init
V16.9XXD@Unsp pedl cyclst inj in clsn w nonmtr vehicle in traf, subs
V16.9XXS@Unsp pedl cyclst inj in clsn w nonmtr vehicle in traf, sqla
#
V17.0XXA@Pedl cyc driver inj in clsn w statnry object nontraf, init
V17.0XXD@Pedl cyc driver inj in clsn w statnry object nontraf, subs
V17.0XXS@Pedl cyc driver inj in clsn w statnry object nontraf, sqla
V17.1XXA@Pedl cyc pasngr inj in clsn w statnry object nontraf, init
V17.1XXD@Pedl cyc pasngr inj in clsn w statnry object nontraf, subs
V17.1XXS@Pedl cyc pasngr inj in clsn w statnry object nontraf, sqla
V17.2XXA@Unsp pedl cyclst inj in clsn w statnry object nontraf, init
V17.2XXD@Unsp pedl cyclst inj in clsn w statnry object nontraf, subs
V17.2XXS@Unsp pedl cyclst inj in clsn w statnry object nontraf, sqla
V17.3XXA@Prsn brd/alit pedl cyc inj in clsn w statnry object, init
V17.3XXD@Prsn brd/alit pedl cyc inj in clsn w statnry object, subs
V17.3XXS@Prsn brd/alit pedl cyc inj in clsn w statnry object, sequela
V17.4XXA@Pedl cyc driver inj in clsn w statnry object in traf, init
V17.4XXD@Pedl cyc driver inj in clsn w statnry object in traf, subs
V17.4XXS@Pedl cyc driver inj in clsn w statnry object in traf, sqla
V17.5XXA@Pedl cyc pasngr inj in clsn w statnry object in traf, init
V17.5XXD@Pedl cyc pasngr inj in clsn w statnry object in traf, subs
V17.5XXS@Pedl cyc pasngr inj in clsn w statnry object in traf, sqla
V17.9XXA@Unsp pedl cyclst inj in clsn w statnry object in traf, init
V17.9XXD@Unsp pedl cyclst inj in clsn w statnry object in traf, subs
V17.9XXS@Unsp pedl cyclst inj in clsn w statnry object in traf, sqla
#
V18.0XXA@Pedl cyc driver injured in nonclsn trnsp acc nontraf, init
V18.0XXD@Pedl cyc driver injured in nonclsn trnsp acc nontraf, subs
V18.0XXS@Pedl cyc driver inj in nonclsn trnsp acc nontraf, sequela
V18.1XXA@Pedl cyc pasngr injured in nonclsn trnsp acc nontraf, init
V18.1XXD@Pedl cyc pasngr injured in nonclsn trnsp acc nontraf, subs
V18.1XXS@Pedl cyc pasngr inj in nonclsn trnsp acc nontraf, sequela
V18.2XXA@Unsp pedl cyclst injured in nonclsn trnsp acc nontraf, init
V18.2XXD@Unsp pedl cyclst injured in nonclsn trnsp acc nontraf, subs
V18.2XXS@Unsp pedl cyclst inj in nonclsn trnsp acc nontraf, sequela
V18.3XXA@Prsn brd/alit pedl cyc injured in nonclsn trnsp acc, init
V18.3XXD@Prsn brd/alit pedl cyc injured in nonclsn trnsp acc, subs
V18.3XXS@Prsn brd/alit pedl cyc injured in nonclsn trnsp acc, sequela
V18.4XXA@Pedl cyc driver injured in nonclsn trnsp acc in traf, init
V18.4XXD@Pedl cyc driver injured in nonclsn trnsp acc in traf, subs
V18.4XXS@Pedl cyc driver inj in nonclsn trnsp acc in traf, sequela
V18.5XXA@Pedl cyc pasngr injured in nonclsn trnsp acc in traf, init
V18.5XXD@Pedl cyc pasngr injured in nonclsn trnsp acc in traf, subs
V18.5XXS@Pedl cyc pasngr inj in nonclsn trnsp acc in traf, sequela
V18.9XXA@Unsp pedl cyclst injured in nonclsn trnsp acc in traf, init
V18.9XXD@Unsp pedl cyclst injured in nonclsn trnsp acc in traf, subs
V18.9XXS@Unsp pedl cyclst inj in nonclsn trnsp acc in traf, sequela
#
V19.00XA@Pedl cyc driver injured in collision w unsp mv nontraf, init
V19.00XD@Pedl cyc driver injured in collision w unsp mv nontraf, subs
V19.00XS@Pedl cyc driver injured in clsn w unsp mv nontraf, sequela
V19.09XA@Pedl cyc driver injured in collision w oth mv nontraf, init
V19.09XD@Pedl cyc driver injured in collision w oth mv nontraf, subs
V19.09XS@Pedl cyc driver injured in clsn w oth mv nontraf, sequela
V19.10XA@Pedl cyc passenger injured in clsn w unsp mv nontraf, init
V19.10XD@Pedl cyc passenger injured in clsn w unsp mv nontraf, subs
V19.10XS@Pedl cyc pasngr injured in clsn w unsp mv nontraf, sequela
V19.19XA@Pedl cyc passenger injured in clsn w oth mv nontraf, init
V19.19XD@Pedl cyc passenger injured in clsn w oth mv nontraf, subs
V19.19XS@Pedl cyc passenger injured in clsn w oth mv nontraf, sequela
V19.20XA@Unsp pedl cyclst injured in clsn w unsp mv nontraf, init
V19.20XD@Unsp pedl cyclst injured in clsn w unsp mv nontraf, subs
V19.20XS@Unsp pedl cyclst injured in clsn w unsp mv nontraf, sequela
V19.29XA@Unsp pedl cyclst injured in collision w oth mv nontraf, init
V19.29XD@Unsp pedl cyclst injured in collision w oth mv nontraf, subs
V19.29XS@Unsp pedl cyclst injured in clsn w oth mv nontraf, sequela
V19.3XXA@Pedl cyclst (driver) injured in unsp nontraf, init
V19.3XXD@Pedl cyclst (driver) injured in unsp nontraf, subs
V19.3XXS@Pedl cyclst (driver) injured in unsp nontraf, sequela
V19.40XA@Pedl cyc driver injured in collision w unsp mv in traf, init
V19.40XD@Pedl cyc driver injured in collision w unsp mv in traf, subs
V19.40XS@Pedl cyc driver injured in clsn w unsp mv in traf, sequela
V19.49XA@Pedl cyc driver injured in collision w oth mv in traf, init
V19.49XD@Pedl cyc driver injured in collision w oth mv in traf, subs
V19.49XS@Pedl cyc driver injured in clsn w oth mv in traf, sequela
V19.50XA@Pedl cyc passenger injured in clsn w unsp mv in traf, init
V19.50XD@Pedl cyc passenger injured in clsn w unsp mv in traf, subs
V19.50XS@Pedl cyc pasngr injured in clsn w unsp mv in traf, sequela
V19.59XA@Pedl cyc passenger injured in clsn w oth mv in traf, init
V19.59XD@Pedl cyc passenger injured in clsn w oth mv in traf, subs
V19.59XS@Pedl cyc passenger injured in clsn w oth mv in traf, sequela
V19.60XA@Unsp pedl cyclst injured in clsn w unsp mv in traf, init
V19.60XD@Unsp pedl cyclst injured in clsn w unsp mv in traf, subs
V19.60XS@Unsp pedl cyclst injured in clsn w unsp mv in traf, sequela
V19.69XA@Unsp pedl cyclst injured in collision w oth mv in traf, init
V19.69XD@Unsp pedl cyclst injured in collision w oth mv in traf, subs
V19.69XS@Unsp pedl cyclst injured in clsn w oth mv in traf, sequela
V19.81XA@Pedl cyclst injured in trnsp acc w military vehicle, init
V19.81XD@Pedl cyclst injured in trnsp acc w military vehicle, subs
V19.81XS@Pedl cyclst injured in trnsp acc w military vehicle, sequela
V19.88XA@Pedl cyclst (driver) injured in oth transport acc, init
V19.88XD@Pedl cyclst (driver) injured in oth transport acc, subs
V19.88XS@Pedl cyclst (driver) injured in oth transport acc, sequela
V19.9XXA@Pedl cyclst (driver) (passenger) injured in unsp traf, init
V19.9XXD@Pedl cyclst (driver) (passenger) injured in unsp traf, subs
V19.9XXS@Pedl cyclst (driver) injured in unsp traf, sequela
#
V20.0XXA@Mtrcy driver injured in collision w ped/anml nontraf, init
V20.0XXD@Mtrcy driver injured in collision w ped/anml nontraf, subs
V20.0XXS@Mtrcy driver injured in clsn w ped/anml nontraf, sequela
V20.1XXA@Mtrcy passenger injured in clsn w ped/anml nontraf, init
V20.1XXD@Mtrcy passenger injured in clsn w ped/anml nontraf, subs
V20.1XXS@Mtrcy passenger injured in clsn w ped/anml nontraf, sequela
V20.2XXA@Unsp mtrcy rider injured in clsn w ped/anml nontraf, init
V20.2XXD@Unsp mtrcy rider injured in clsn w ped/anml nontraf, subs
V20.2XXS@Unsp mtrcy rider injured in clsn w ped/anml nontraf, sequela
V20.3XXA@Prsn brd/alit mtrcy injured in collision w ped/anml, init
V20.3XXD@Prsn brd/alit mtrcy injured in collision w ped/anml, subs
V20.3XXS@Prsn brd/alit mtrcy injured in collision w ped/anml, sequela
V20.4XXA@Mtrcy driver injured in collision w ped/anml in traf, init
V20.4XXD@Mtrcy driver injured in collision w ped/anml in traf, subs
V20.4XXS@Mtrcy driver injured in clsn w ped/anml in traf, sequela
V20.5XXA@Mtrcy passenger injured in clsn w ped/anml in traf, init
V20.5XXD@Mtrcy passenger injured in clsn w ped/anml in traf, subs
V20.5XXS@Mtrcy passenger injured in clsn w ped/anml in traf, sequela
V20.9XXA@Unsp mtrcy rider injured in clsn w ped/anml in traf, init
V20.9XXD@Unsp mtrcy rider injured in clsn w ped/anml in traf, subs
V20.9XXS@Unsp mtrcy rider injured in clsn w ped/anml in traf, sequela
#
V21.0XXA@Mtrcy driver injured in collision w pedl cyc nontraf, init
V21.0XXD@Mtrcy driver injured in collision w pedl cyc nontraf, subs
V21.0XXS@Mtrcy driver injured in clsn w pedl cyc nontraf, sequela
V21.1XXA@Mtrcy passenger injured in clsn w pedl cyc nontraf, init
V21.1XXD@Mtrcy passenger injured in clsn w pedl cyc nontraf, subs
V21.1XXS@Mtrcy passenger injured in clsn w pedl cyc nontraf, sequela
V21.2XXA@Unsp mtrcy rider injured in clsn w pedl cyc nontraf, init
V21.2XXD@Unsp mtrcy rider injured in clsn w pedl cyc nontraf, subs
V21.2XXS@Unsp mtrcy rider injured in clsn w pedl cyc nontraf, sequela
V21.3XXA@Prsn brd/alit mtrcy injured in collision w pedal cycle, init
V21.3XXD@Prsn brd/alit mtrcy injured in collision w pedal cycle, subs
V21.3XXS@Prsn brd/alit mtrcy injured in collision w pedl cyc, sequela
V21.4XXA@Mtrcy driver injured in collision w pedl cyc in traf, init
V21.4XXD@Mtrcy driver injured in collision w pedl cyc in traf, subs
V21.4XXS@Mtrcy driver injured in clsn w pedl cyc in traf, sequela
V21.5XXA@Mtrcy passenger injured in clsn w pedl cyc in traf, init
V21.5XXD@Mtrcy passenger injured in clsn w pedl cyc in traf, subs
V21.5XXS@Mtrcy passenger injured in clsn w pedl cyc in traf, sequela
V21.9XXA@Unsp mtrcy rider injured in clsn w pedl cyc in traf, init
V21.9XXD@Unsp mtrcy rider injured in clsn w pedl cyc in traf, subs
V21.9XXS@Unsp mtrcy rider injured in clsn w pedl cyc in traf, sequela
#
V22.0XXA@Mtrcy driver injured in collision w 2/3-whl mv nontraf, init
V22.0XXD@Mtrcy driver injured in collision w 2/3-whl mv nontraf, subs
V22.0XXS@Mtrcy driver injured in clsn w 2/3-whl mv nontraf, sequela
V22.1XXA@Mtrcy passenger injured in clsn w 2/3-whl mv nontraf, init
